"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia OTUZCO (000)",27924,45,1081,309,212,1666,13336,945,684,8827,34,785
"Agric., ganadería, caza y silvicultura (001)",20330,,3,24,1,,13336,2,14,6950,,
"Pesca (002)",2,,,1,,,,,,1,,
"Explotación de minas y canteras (003)",593,,2,9,1,2,,309,2,268,,
"Industrias manufactureras (004)",706,,3,4,4,31,,557,95,12,,
"Suministro de electricidad, gas y agua (005)",25,,1,3,1,,,2,,18,,
"Construcción (006)",557,,1,12,2,,,27,274,241,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1611,,9,24,4,1203,,43,7,321,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",38,,1,,,11,,24,1,1,,
"Comercio al por mayor (009)",72,,1,3,,64,,,,4,,
"Comercio al por menor (010)",1501,,7,21,4,1128,,19,6,316,,
"Hoteles y restaurantes (011)",529,,,28,3,385,,,,113,,
"Trans., almac. y comunicaciones (012)",412,,3,11,14,,,3,274,107,,
"Intermediación financiera (013)",15,,4,5,5,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",148,1,19,45,36,21,,1,5,20,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",229,28,9,9,104,2,,1,12,30,34,
"Enseñanza (016)",979,16,938,5,15,,,,,5,,
"Servicios sociales y de salud (017)",154,,60,66,9,5,,,,14,,
"Otras activ. serv.comun.soc y personales (018)",232,,29,62,6,17,,,,118,,
"Hogares privados con servicio doméstico (019)",609,,,,,,,,,609,,
"Actividad economica no especificada (021)",793,,,1,7,,,,,,,785
"Hombres (022)",22354,36,517,200,123,624,12894,768,627,6347,34,184
"Agric., ganadería, caza y silvicultura (023)",18392,,2,23,1,,12894,2,13,5457,,
"Pesca (024)",1,,,,,,,,,1,,
"Explotación de minas y canteras (025)",584,,2,8,1,,,305,2,266,,
"Industrias manufactureras (026)",465,,2,4,4,14,,385,48,8,,
"Suministro de electricidad, gas y agua (027)",24,,,3,1,,,2,,18,,
"Construcción (028)",551,,1,12,1,,,27,270,240,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",774,,4,18,2,545,,42,7,156,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",32,,1,,,6,,24,1,,,
"Comercio al por mayor (031)",41,,,3,,34,,,,4,,
"Comercio al por menor (032)",701,,3,15,2,505,,18,6,152,,
"Hoteles y restaurantes (033)",65,,,11,1,37,,,,16,,
"Trans., almac. y comunicaciones (034)",387,,3,7,8,,,3,271,95,,
"Intermediación financiera (035)",6,,3,,2,,,,1,,,
"Activid.inmobil., empres. y alquileres (036)",107,,13,38,16,20,,1,4,15,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",177,24,7,7,66,2,,1,11,25,34,
"Enseñanza (038)",457,12,431,2,9,,,,,3,,
"Servicios sociales y de salud (039)",50,,24,15,5,2,,,,4,,
"Otras activ. serv.comun.soc y personales (040)",101,,25,51,3,4,,,,18,,
"Hogares privados con servicio doméstico (041)",25,,,,,,,,,25,,
"Actividad economica no especificada (043)",188,,,1,3,,,,,,,184
"Mujeres (044)",5570,9,564,109,89,1042,442,177,57,2480,,601
"Agric., ganadería, caza y silvicultura (045)",1938,,1,1,,,442,,1,1493,,
"Pesca (046)",1,,,1,,,,,,,,
"Explotación de minas y canteras (047)",9,,,1,,2,,4,,2,,
"Industrias manufactureras (048)",241,,1,,,17,,172,47,4,,
"Suministro de electricidad, gas y agua (049)",1,,1,,,,,,,,,
"Construcción (050)",6,,,,1,,,,4,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",837,,5,6,2,658,,1,,165,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",6,,,,,5,,,,1,,
"Comercio al por mayor (053)",31,,1,,,30,,,,,,
"Comercio al por menor (054)",800,,4,6,2,623,,1,,164,,
"Hoteles y restaurantes (055)",464,,,17,2,348,,,,97,,
"Trans., almac. y comunicaciones (056)",25,,,4,6,,,,3,12,,
"Intermediación financiera (057)",9,,1,5,3,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",41,1,6,7,20,1,,,1,5,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",52,4,2,2,38,,,,1,5,,
"Enseñanza (060)",522,4,507,3,6,,,,,2,,
"Servicios sociales y de salud (061)",104,,36,51,4,3,,,,10,,
"Otras activ. serv.comun.soc y personales (062)",131,,4,11,3,13,,,,100,,
"Hogares privados con servicio doméstico (063)",584,,,,,,,,,584,,
"Actividad economica no especificada (065)",605,,,,4,,,,,,,601
,,,,,,,,,,,,
"URBANA (066)",7294,39,944,255,183,1203,1701,406,436,1875,34,218
"Agric., ganadería, caza y silvicultura (067)",2570,,1,20,1,,1701,2,4,841,,
"Explotación de minas y canteras (069)",173,,1,4,,1,,34,2,131,,
"Industrias manufactureras (070)",387,,2,4,1,26,,309,39,6,,
"Suministro de electricidad, gas y agua (071)",8,,1,2,1,,,2,,2,,
"Construcción (072)",352,,1,10,2,,,21,174,144,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1192,,8,18,4,908,,34,4,216,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",28,,,,,9,,18,1,,,
"Comercio al por mayor (075)",58,,1,3,,52,,,,2,,
"Comercio al por menor (076)",1106,,7,15,4,847,,16,3,214,,
"Hoteles y restaurantes (077)",344,,,22,3,233,,,,86,,
"Trans., almac. y comunicaciones (078)",296,,3,11,13,,,2,201,66,,
"Intermediación financiera (079)",13,,3,5,5,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",124,1,17,41,30,16,,1,1,17,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",202,22,9,8,89,2,,1,11,26,34,
"Enseñanza (082)",861,16,822,5,13,,,,,5,,
"Servicios sociales y de salud (083)",125,,52,49,8,2,,,,14,,
"Otras activ. serv.comun.soc y personales (084)",202,,24,55,6,15,,,,102,,
"Hogares privados con servicio doméstico (085)",219,,,,,,,,,219,,
"Actividad economica no especificada (087)",226,,,1,7,,,,,,,218
"Hombres (088)",4827,30,441,167,104,472,1615,315,416,1141,34,92
"Agric., ganadería, caza y silvicultura (089)",2264,,,19,1,,1615,2,4,623,,
"Explotación de minas y canteras (091)",171,,1,4,,,,33,2,131,,
"Industrias manufactureras (092)",268,,2,4,1,11,,220,26,4,,
"Suministro de electricidad, gas y agua (093)",7,,,2,1,,,2,,2,,
"Construcción (094)",347,,1,10,1,,,21,171,143,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",564,,3,14,2,408,,33,4,100,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",24,,,,,5,,18,1,,,
"Comercio al por mayor (097)",33,,,3,,28,,,,2,,
"Comercio al por menor (098)",507,,3,11,2,375,,15,3,98,,
"Hoteles y restaurantes (099)",54,,,8,1,32,,,,13,,
"Trans., almac. y comunicaciones (100)",273,,3,7,7,,,2,199,55,,
"Intermediación financiera (101)",4,,2,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",88,,12,34,14,15,,1,,12,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",158,18,7,7,56,2,,1,10,23,34,
"Enseñanza (104)",389,12,365,2,7,,,,,3,,
"Servicios sociales y de salud (105)",42,,24,9,5,,,,,4,,
"Otras activ. serv.comun.soc y personales (106)",90,,21,46,3,4,,,,16,,
"Hogares privados con servicio doméstico (107)",12,,,,,,,,,12,,
"Actividad economica no especificada (109)",96,,,1,3,,,,,,,92
"Mujeres (110)",2467,9,503,88,79,731,86,91,20,734,,126
"Agric., ganadería, caza y silvicultura (111)",306,,1,1,,,86,,,218,,
"Explotación de minas y canteras (113)",2,,,,,1,,1,,,,
"Industrias manufactureras (114)",119,,,,,15,,89,13,2,,
"Suministro de electricidad, gas y agua (115)",1,,1,,,,,,,,,
"Construcción (116)",5,,,,1,,,,3,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",628,,5,4,2,500,,1,,116,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",4,,,,,4,,,,,,
"Comercio al por mayor (119)",25,,1,,,24,,,,,,
"Comercio al por menor (120)",599,,4,4,2,472,,1,,116,,
"Hoteles y restaurantes (121)",290,,,14,2,201,,,,73,,
"Trans., almac. y comunicaciones (122)",23,,,4,6,,,,2,11,,
"Intermediación financiera (123)",9,,1,5,3,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",36,1,5,7,16,1,,,1,5,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",44,4,2,1,33,,,,1,3,,
"Enseñanza (126)",472,4,457,3,6,,,,,2,,
"Servicios sociales y de salud (127)",83,,28,40,3,2,,,,10,,
"Otras activ. serv.comun.soc y personales (128)",112,,3,9,3,11,,,,86,,
"Hogares privados con servicio doméstico (129)",207,,,,,,,,,207,,
"Actividad economica no especificada (131)",130,,,,4,,,,,,,126
,,,,,,,,,,,,
