"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia MANU (000)",20290,19656,529,105
"Hombres (001)",11620,11311,259,50
"Mujeres (002)",8670,8345,270,55
"Menores de 1 año (003)",483,315,141,27
"Hombres (004)",234,161,63,10
"Mujeres (005)",249,154,78,17
"De 1 a 5 años (006)",2400,2077,252,71
"Hombres (007)",1216,1042,136,38
"Mujeres (008)",1184,1035,116,33
"De 6 a 14 años (009)",3253,3235,14,4
"Hombres (010)",1673,1666,6,1
"Mujeres (011)",1580,1569,8,3
"De 15 a 29 años (012)",7146,7121,25,
"Hombres (013)",4019,4008,11,
"Mujeres (014)",3127,3113,14,
"De 30 a 44 años (015)",4729,4707,19,3
"Hombres (016)",2938,2932,5,1
"Mujeres (017)",1791,1775,14,2
"De 45 a 64 años (018)",1957,1921,36,
"Hombres (019)",1334,1316,18,
"Mujeres (020)",623,605,18,
"De 65 a más años (021)",322,280,42,
"Hombres (022)",206,186,20,
"Mujeres (023)",116,94,22,
,,,,
"URBANA (024)",7261,7114,105,42
"Hombres (025)",3722,3659,43,20
"Mujeres (026)",3539,3455,62,22
"Menores de 1 año (027)",185,139,36,10
"Hombres (028)",89,70,14,5
"Mujeres (029)",96,69,22,5
"De 1 a 5 años (030)",878,793,55,30
"Hombres (031)",443,404,24,15
"Mujeres (032)",435,389,31,15
"De 6 a 14 años (033)",1513,1510,1,2
"Hombres (034)",772,771,1,
"Mujeres (035)",741,739,,2
"De 15 a 29 años (036)",2160,2159,1,
"Hombres (037)",1016,1016,,
"Mujeres (038)",1144,1143,1,
"De 30 a 44 años (039)",1725,1723,2,
"Hombres (040)",901,901,,
"Mujeres (041)",824,822,2,
"De 45 a 64 años (042)",695,691,4,
"Hombres (043)",435,433,2,
"Mujeres (044)",260,258,2,
"De 65 a más años (045)",105,99,6,
"Hombres (046)",66,64,2,
"Mujeres (047)",39,35,4,
,,,,
"RURAL (048)",13029,12542,424,63
"Hombres (049)",7898,7652,216,30
"Mujeres (050)",5131,4890,208,33
"Menores de 1 año (051)",298,176,105,17
"Hombres (052)",145,91,49,5
"Mujeres (053)",153,85,56,12
"De 1 a 5 años (054)",1522,1284,197,41
"Hombres (055)",773,638,112,23
"Mujeres (056)",749,646,85,18
"De 6 a 14 años (057)",1740,1725,13,2
"Hombres (058)",901,895,5,1
"Mujeres (059)",839,830,8,1
"De 15 a 29 años (060)",4986,4962,24,
"Hombres (061)",3003,2992,11,
"Mujeres (062)",1983,1970,13,
"De 30 a 44 años (063)",3004,2984,17,3
"Hombres (064)",2037,2031,5,1
"Mujeres (065)",967,953,12,2
"De 45 a 64 años (066)",1262,1230,32,
"Hombres (067)",899,883,16,
"Mujeres (068)",363,347,16,
"De 65 a más años (069)",217,181,36,
"Hombres (070)",140,122,18,
"Mujeres (071)",77,59,18,
