"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia JUNIN (000)",9244,1671,1372,4938,312,865,86
"Sin nivel (001)",957,32,140,635,48,92,10
"Educación inicial (002)",4,,3,,,1,
"Primaria (003)",2807,81,438,1854,99,307,28
"Secundaria (004)",2865,310,550,1538,104,331,32
"Superior no univ. incompleta (005)",431,123,56,212,10,26,4
"Superior no univ. completa (006)",790,356,60,299,12,55,8
"Superior univ. incompleta (007)",294,87,40,137,11,18,1
"Superior univ. completa (008)",1096,682,85,263,28,35,3
"Hombres (010)",6221,955,1157,3459,204,445,1
"Sin nivel (011)",424,11,81,289,24,19,
"Educación inicial (012)",2,,2,,,,
"Primaria (013)",1974,50,348,1372,64,140,
"Secundaria (014)",2190,214,507,1163,80,226,
"Superior no univ. incompleta (015)",300,74,51,154,8,13,
"Superior no univ. completa (016)",424,172,50,179,3,19,1
"Superior univ. incompleta (017)",220,60,38,104,8,10,
"Superior univ. completa (018)",687,374,80,198,17,18,
"Mujeres (020)",3023,716,215,1479,108,420,85
"Sin nivel (021)",533,21,59,346,24,73,10
"Educación inicial (022)",2,,1,,,1,
"Primaria (023)",833,31,90,482,35,167,28
"Secundaria (024)",675,96,43,375,24,105,32
"Superior no univ. incompleta (025)",131,49,5,58,2,13,4
"Superior no univ. completa (026)",366,184,10,120,9,36,7
"Superior univ. incompleta (027)",74,27,2,33,3,8,1
"Superior univ. completa (028)",409,308,5,65,11,17,3
,,,,,,,
"URBANA (030)",5942,1529,881,2936,148,369,79
"Sin nivel (031)",412,31,64,271,5,31,10
"Educación inicial (032)",4,,3,,,1,
"Primaria (033)",1329,70,244,854,36,101,24
"Secundaria (034)",1957,280,378,1071,55,144,29
"Superior no univ. incompleta (035)",356,117,44,167,8,16,4
"Superior no univ. completa (036)",696,334,44,259,11,40,8
"Superior univ. incompleta (037)",258,83,32,122,8,12,1
"Superior univ. completa (038)",930,614,72,192,25,24,3
"Hombres (040)",3701,867,753,1835,95,150,1
"Sin nivel (041)",125,10,34,74,1,6,
"Educación inicial (042)",2,,2,,,,
"Primaria (043)",788,45,192,502,25,24,
"Secundaria (044)",1420,192,348,759,38,83,
"Superior no univ. incompleta (045)",241,68,40,119,7,7,
"Superior no univ. completa (046)",367,162,39,150,3,12,1
"Superior univ. incompleta (047)",196,56,31,95,7,7,
"Superior univ. completa (048)",562,334,67,136,14,11,
"Mujeres (050)",2241,662,128,1101,53,219,78
"Sin nivel (051)",287,21,30,197,4,25,10
"Educación inicial (052)",2,,1,,,1,
"Primaria (053)",541,25,52,352,11,77,24
"Secundaria (054)",537,88,30,312,17,61,29
"Superior no univ. incompleta (055)",115,49,4,48,1,9,4
"Superior no univ. completa (056)",329,172,5,109,8,28,7
"Superior univ. incompleta (057)",62,27,1,27,1,5,1
"Superior univ. completa (058)",368,280,5,56,11,13,3
,,,,,,,
"RURAL (060)",3302,142,491,2002,164,496,7
"Sin nivel (061)",545,1,76,364,43,61,
"Primaria (063)",1478,11,194,1000,63,206,4
"Secundaria (064)",908,30,172,467,49,187,3
"Superior no univ. incompleta (065)",75,6,12,45,2,10,
"Superior no univ. completa (066)",94,22,16,40,1,15,
"Superior univ. incompleta (067)",36,4,8,15,3,6,
"Superior univ. completa (068)",166,68,13,71,3,11,
"Hombres (070)",2520,88,404,1624,109,295,
"Sin nivel (071)",299,1,47,215,23,13,
"Primaria (073)",1186,5,156,870,39,116,
"Secundaria (074)",770,22,159,404,42,143,
"Superior no univ. incompleta (075)",59,6,11,35,1,6,
"Superior no univ. completa (076)",57,10,11,29,,7,
"Superior univ. incompleta (077)",24,4,7,9,1,3,
"Superior univ. completa (078)",125,40,13,62,3,7,
"Mujeres (080)",782,54,87,378,55,201,7
"Sin nivel (081)",246,,29,149,20,48,
"Primaria (083)",292,6,38,130,24,90,4
"Secundaria (084)",138,8,13,63,7,44,3
"Superior no univ. incompleta (085)",16,,1,10,1,4,
"Superior no univ. completa (086)",37,12,5,11,1,8,
"Superior univ. incompleta (087)",12,,1,6,2,3,
"Superior univ. completa (088)",41,28,,9,,4,
