"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHURCAMPA (000)",11107,10552,30,1687,1684,1530,2701,1869,825,226,555,43048
"De 12 a 14 años (001)",14,6,,5,1,,,,,,8,7
"De 15 a 19 años (002)",404,363,3,297,52,6,5,,,,41,439
"De 20 a 24 años (003)",1268,1072,3,515,385,128,37,4,,,196,1850
"De 25 a 29 años (004)",1302,1171,1,250,349,299,235,32,5,,131,3079
"De 30 a 34 años (005)",1247,1198,1,156,263,266,372,126,14,,49,4023
"De 35 a 39 años (006)",1231,1182,3,89,167,197,426,236,53,11,49,4983
"De 40 a 44 años (007)",1095,1070,2,65,85,119,319,294,155,31,25,5565
"De 45 a 49 años (008)",984,973,2,60,74,111,277,272,129,48,11,5148
"De 50 y más años (009)",3562,3517,15,250,308,404,1030,905,469,136,45,17954
"Conviviente (010)",2281,2200,7,749,597,323,358,125,31,10,81,5645
"De 12 a 14 años (011)",9,3,,3,,,,,,,6,3
"De 15 a 19 años (012)",273,248,2,204,36,4,2,,,,25,296
"De 20 a 24 años (013)",659,627,2,306,234,63,21,1,,,32,1058
"De 25 a 29 años (014)",461,454,,116,154,109,68,5,2,,7,1088
"De 30 a 34 años (015)",331,327,1,58,90,70,89,18,1,,4,959
"De 35 a 39 años (016)",213,210,,25,43,34,75,25,6,2,3,777
"De 40 a 44 años (017)",131,130,1,15,15,19,45,27,5,3,1,547
"De 45 a 49 años (018)",73,73,,5,6,9,28,19,4,2,,348
"De 50 y más años (019)",131,128,1,17,19,15,30,30,13,3,3,569
"Separado(a) (020)",498,483,,183,112,56,84,36,9,3,15,1294
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",36,32,,30,2,,,,,,4,34
"De 20 a 24 años (023)",86,82,,58,20,3,1,,,,4,111
