"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia OTUZCO (000)",88817,87007,1357,453
"Hombres (001)",44769,44032,511,226
"Mujeres (002)",44048,42975,846,227
"Menores de 1 año (003)",1926,1510,299,117
"Hombres (004)",970,760,149,61
"Mujeres (005)",956,750,150,56
"De 1 a 5 años (006)",10210,9491,450,269
"Hombres (007)",5135,4783,219,133
"Mujeres (008)",5075,4708,231,136
"De 6 a 14 años (009)",19746,19631,89,26
"Hombres (010)",10105,10042,48,15
"Mujeres (011)",9641,9589,41,11
"De 15 a 29 años (012)",21731,21677,43,11
"Hombres (013)",11049,11031,12,6
"Mujeres (014)",10682,10646,31,5
"De 30 a 44 años (015)",16044,15987,50,7
"Hombres (016)",8076,8061,11,4
"Mujeres (017)",7968,7926,39,3
"De 45 a 64 años (018)",12377,12242,128,7
"Hombres (019)",6163,6143,20,
"Mujeres (020)",6214,6099,108,7
"De 65 a más años (021)",6783,6469,298,16
"Hombres (022)",3271,3212,52,7
"Mujeres (023)",3512,3257,246,9
,,,,
"URBANA (024)",21179,20896,195,88
"Hombres (025)",10380,10255,84,41
"Mujeres (026)",10799,10641,111,47
"Menores de 1 año (027)",369,292,50,27
"Hombres (028)",194,152,28,14
"Mujeres (029)",175,140,22,13
"De 1 a 5 años (030)",1938,1815,71,52
"Hombres (031)",997,937,37,23
"Mujeres (032)",941,878,34,29
"De 6 a 14 años (033)",4273,4259,9,5
"Hombres (034)",2170,2164,3,3
"Mujeres (035)",2103,2095,6,2
"De 15 a 29 años (036)",5097,5095,2,
"Hombres (037)",2507,2506,1,
"Mujeres (038)",2590,2589,1,
"De 30 a 44 años (039)",4234,4227,7,
"Hombres (040)",2025,2021,4,
"Mujeres (041)",2209,2206,3,
"De 45 a 64 años (042)",3370,3362,7,1
"Hombres (043)",1617,1617,,
"Mujeres (044)",1753,1745,7,1
"De 65 a más años (045)",1898,1846,49,3
"Hombres (046)",870,858,11,1
"Mujeres (047)",1028,988,38,2
,,,,
"RURAL (048)",67638,66111,1162,365
"Hombres (049)",34389,33777,427,185
"Mujeres (050)",33249,32334,735,180
"Menores de 1 año (051)",1557,1218,249,90
"Hombres (052)",776,608,121,47
"Mujeres (053)",781,610,128,43
"De 1 a 5 años (054)",8272,7676,379,217
"Hombres (055)",4138,3846,182,110
"Mujeres (056)",4134,3830,197,107
"De 6 a 14 años (057)",15473,15372,80,21
"Hombres (058)",7935,7878,45,12
"Mujeres (059)",7538,7494,35,9
"De 15 a 29 años (060)",16634,16582,41,11
"Hombres (061)",8542,8525,11,6
"Mujeres (062)",8092,8057,30,5
"De 30 a 44 años (063)",11810,11760,43,7
"Hombres (064)",6051,6040,7,4
"Mujeres (065)",5759,5720,36,3
"De 45 a 64 años (066)",9007,8880,121,6
"Hombres (067)",4546,4526,20,
"Mujeres (068)",4461,4354,101,6
"De 65 a más años (069)",4885,4623,249,13
"Hombres (070)",2401,2354,41,6
"Mujeres (071)",2484,2269,208,7
