"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia HUAURA (000)",197384,99472,97912,170562,85159,85403,26822,14313,12509
"Menores de 1 año (001)",3182,1601,1581,2702,1376,1326,480,225,255
"Menores de 1 mes (002)",257,132,125,227,115,112,30,17,13
"De 1 a 11 meses (003)",2925,1469,1456,2475,1261,1214,450,208,242
"De 1 a 4 años (004)",13909,7092,6817,11751,5983,5768,2158,1109,1049
"1 año (005)",3430,1724,1706,2919,1481,1438,511,243,268
"2 años (006)",3522,1784,1738,2988,1517,1471,534,267,267
"3 años (007)",3508,1784,1724,2965,1492,1473,543,292,251
"4 años (008)",3449,1800,1649,2879,1493,1386,570,307,263
"De 5 a 9 años (009)",16791,8590,8201,14283,7307,6976,2508,1283,1225
"5 años (010)",3301,1669,1632,2809,1423,1386,492,246,246
"6 años (011)",3093,1575,1518,2631,1337,1294,462,238,224
"7 años (012)",3359,1698,1661,2880,1460,1420,479,238,241
"8 años (013)",3528,1814,1714,2968,1529,1439,560,285,275
"9 años (014)",3510,1834,1676,2995,1558,1437,515,276,239
"De 10 a 14 años (015)",20396,10394,10002,17506,8886,8620,2890,1508,1382
"10 años (016)",4014,2048,1966,3433,1745,1688,581,303,278
"11 años (017)",3913,2012,1901,3323,1699,1624,590,313,277
"12 años (018)",4250,2199,2051,3630,1870,1760,620,329,291
"13 años (019)",4090,2078,2012,3521,1779,1742,569,299,270
"14 años (020)",4129,2057,2072,3599,1793,1806,530,264,266
"De 15 a 19 años (021)",19403,9826,9577,16769,8439,8330,2634,1387,1247
"15 años (022)",4284,2188,2096,3696,1898,1798,588,290,298
"16 años (023)",3800,1891,1909,3302,1642,1660,498,249,249
"17 años (024)",3658,1870,1788,3133,1562,1571,525,308,217
"18 años (025)",3828,1950,1878,3293,1665,1628,535,285,250
"19 años (026)",3833,1927,1906,3345,1672,1673,488,255,233
"De 20 a 24 años (027)",18312,9287,9025,15775,7948,7827,2537,1339,1198
"20 años (028)",3826,1946,1880,3285,1668,1617,541,278,263
"21 años (029)",3295,1688,1607,2883,1468,1415,412,220,192
"22 años (030)",3776,1951,1825,3219,1648,1571,557,303,254
"23 años (031)",3703,1832,1871,3184,1566,1618,519,266,253
"24 años (032)",3712,1870,1842,3204,1598,1606,508,272,236
"De 25 a 29 años (033)",16443,8350,8093,14212,7117,7095,2231,1233,998
"25 años (034)",3601,1843,1758,3123,1572,1551,478,271,207
"26 años (035)",3260,1592,1668,2831,1371,1460,429,221,208
"27 años (036)",3491,1818,1673,3007,1549,1458,484,269,215
"28 años (037)",3141,1621,1520,2692,1375,1317,449,246,203
"29 años (038)",2950,1476,1474,2559,1250,1309,391,226,165
