"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia JAUJA (000)",86906,3541,9816,11397,9242,13176,10880,19760,9094
"Sabe leer y escribir (001)",76428,,7565,11312,9166,12965,10537,18119,6764
"No sabe leer y escribir (002)",10478,3541,2251,85,76,211,343,1641,2330
"Hombres (004)",41659,1806,4954,5830,4749,6314,4846,9005,4155
"Sabe leer y escribir (005)",38043,,3794,5793,4717,6247,4770,8789,3933
"No sabe leer y escribir (006)",3616,1806,1160,37,32,67,76,216,222
"Mujeres (008)",45247,1735,4862,5567,4493,6862,6034,10755,4939
"Sabe leer y escribir (009)",38385,,3771,5519,4449,6718,5767,9330,2831
"No sabe leer y escribir (010)",6862,1735,1091,48,44,144,267,1425,2108
,,,,,,,,,
"URBANA (012)",60531,2323,6297,7636,6555,9389,7746,14037,6548
"Sabe leer y escribir (013)",54033,,4929,7596,6513,9293,7549,13067,5086
"No sabe leer y escribir (014)",6498,2323,1368,40,42,96,197,970,1462
"Hombres (016)",28793,1188,3190,3852,3361,4474,3412,6308,3008
"Sabe leer y escribir (017)",26484,,2456,3836,3341,4436,3360,6176,2879
"No sabe leer y escribir (018)",2309,1188,734,16,20,38,52,132,129
"Mujeres (020)",31738,1135,3107,3784,3194,4915,4334,7729,3540
"Sabe leer y escribir (021)",27549,,2473,3760,3172,4857,4189,6891,2207
"No sabe leer y escribir (022)",4189,1135,634,24,22,58,145,838,1333
,,,,,,,,,
"RURAL (024)",26375,1218,3519,3761,2687,3787,3134,5723,2546
"Sabe leer y escribir (025)",22395,,2636,3716,2653,3672,2988,5052,1678
"No sabe leer y escribir (026)",3980,1218,883,45,34,115,146,671,868
"Hombres (028)",12866,618,1764,1978,1388,1840,1434,2697,1147
"Sabe leer y escribir (029)",11559,,1338,1957,1376,1811,1410,2613,1054
"No sabe leer y escribir (030)",1307,618,426,21,12,29,24,84,93
"Mujeres (032)",13509,600,1755,1783,1299,1947,1700,3026,1399
"Sabe leer y escribir (033)",10836,,1298,1759,1277,1861,1578,2439,624
"No sabe leer y escribir (034)",2673,600,457,24,22,86,122,587,775
