"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia FERREÑAFE (000)",89529,4634,10852,12072,9570,14558,12372,19550,5921
"Sabe leer y escribir (001)",72082,,7395,11675,9284,13574,11016,15546,3592
"No sabe leer y escribir (002)",17447,4634,3457,397,286,984,1356,4004,2329
"Hombres (004)",44282,2390,5415,6258,4932,7025,5753,9510,2999
"Sabe leer y escribir (005)",37679,,3731,6097,4847,6821,5501,8530,2152
"No sabe leer y escribir (006)",6603,2390,1684,161,85,204,252,980,847
"Mujeres (008)",45247,2244,5437,5814,4638,7533,6619,10040,2922
"Sabe leer y escribir (009)",34403,,3664,5578,4437,6753,5515,7016,1440
"No sabe leer y escribir (010)",10844,2244,1773,236,201,780,1104,3024,1482
,,,,,,,,,
"URBANA (012)",48695,2050,4855,6190,5325,7953,7088,11610,3624
"Sabe leer y escribir (013)",43458,,3846,6102,5256,7806,6855,10769,2824
"No sabe leer y escribir (014)",5237,2050,1009,88,69,147,233,841,800
"Hombres (016)",23750,1086,2444,3144,2716,3765,3172,5593,1830
"Sabe leer y escribir (017)",21472,,1932,3102,2684,3711,3114,5375,1554
"No sabe leer y escribir (018)",2278,1086,512,42,32,54,58,218,276
"Mujeres (020)",24945,964,2411,3046,2609,4188,3916,6017,1794
"Sabe leer y escribir (021)",21986,,1914,3000,2572,4095,3741,5394,1270
"No sabe leer y escribir (022)",2959,964,497,46,37,93,175,623,524
,,,,,,,,,
"RURAL (024)",40834,2584,5997,5882,4245,6605,5284,7940,2297
"Sabe leer y escribir (025)",28624,,3549,5573,4028,5768,4161,4777,768
"No sabe leer y escribir (026)",12210,2584,2448,309,217,837,1123,3163,1529
"Hombres (028)",20532,1304,2971,3114,2216,3260,2581,3917,1169
"Sabe leer y escribir (029)",16207,,1799,2995,2163,3110,2387,3155,598
"No sabe leer y escribir (030)",4325,1304,1172,119,53,150,194,762,571
"Mujeres (032)",20302,1280,3026,2768,2029,3345,2703,4023,1128
"Sabe leer y escribir (033)",12417,,1750,2578,1865,2658,1774,1622,170
"No sabe leer y escribir (034)",7885,1280,1276,190,164,687,929,2401,958
