"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAROWILCA (000)",7685,7420,22,1221,1031,942,1965,1401,662,176,265,31294
"De 12 a 14 años (001)",11,3,,2,1,,,,,,8,4
"De 15 a 19 años (002)",230,207,1,178,27,,1,,,,23,236
"De 20 a 24 años (003)",776,695,3,427,176,64,24,1,,,81,1078
"De 25 a 29 años (004)",875,831,1,226,251,199,141,13,,,44,2005
"De 30 a 34 años (005)",895,859,3,101,161,183,327,75,8,1,36,2941
"De 35 a 39 años (006)",840,814,,54,112,111,313,173,45,6,26,3546
"De 40 a 44 años (007)",799,789,3,42,54,75,248,232,104,31,10,4189
"De 45 a 49 años (008)",690,682,1,22,54,63,166,204,134,38,8,3909
"De 50 y más años (009)",2569,2540,10,169,195,247,745,703,371,100,29,13386
"Conviviente (010)",2757,2699,10,611,528,432,700,300,98,20,58,9007
"De 12 a 14 años (011)",8,,,,,,,,,,8,
"De 15 a 19 años (012)",147,129,1,107,21,,,,,,18,149
"De 20 a 24 años (013)",481,469,2,259,139,52,17,,,,12,763
"De 25 a 29 años (014)",554,551,,127,174,142,100,8,,,3,1376
"De 30 a 34 años (015)",506,499,3,51,86,113,198,42,5,1,7,1739
"De 35 a 39 años (016)",374,372,,16,47,60,155,76,17,1,2,1618
"De 40 a 44 años (017)",280,278,2,24,17,25,103,75,29,3,2,1350
"De 45 a 49 años (018)",150,149,,6,16,10,47,40,23,7,1,811
"De 50 y más años (019)",257,252,2,21,28,30,80,59,24,8,5,1201
"Separado(a) (020)",470,463,1,189,101,55,69,37,7,4,7,1190
"De 15 a 19 años (022)",29,28,,26,2,,,,,,1,30
"De 20 a 24 años (023)",85,83,,67,14,2,,,,,2,101
"De 25 a 29 años (024)",78,76,1,40,23,11,1,,,,2,123
