"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHUCUITO (000)",126259,2098,38149,35563,22798,18119,9532
"Hombres (001)",64534,1086,19657,18142,11626,9245,4778
"Mujeres (002)",61725,1012,18492,17421,11172,8874,4754
"Viviendas particulares (003)",124979,2094,38070,35024,22390,17921,9480
"Hombres (004)",63584,1084,19614,17723,11319,9099,4745
"Mujeres (005)",61395,1010,18456,17301,11071,8822,4735
"Viviendas colectivas (006)",675,4,18,272,249,97,35
"Hombres (007)",548,2,8,239,203,74,22
"Mujeres (008)",127,2,10,33,46,23,13
"Otro tipo (009)",605,,61,267,159,101,17
"Hombres (010)",402,,35,180,104,72,11
"Mujeres (011)",203,,26,87,55,29,6
,,,,,,,
"URBANA (012)",35767,576,10430,11522,7202,4473,1564
"Hombres (013)",18649,298,5377,5949,3817,2395,813
"Mujeres (014)",17118,278,5053,5573,3385,2078,751
"Viviendas particulares (015)",34521,572,10354,10987,6810,4285,1513
"Hombres (016)",17721,296,5335,5532,3520,2257,781
"Mujeres (017)",16800,276,5019,5455,3290,2028,732
"Viviendas colectivas (018)",659,4,18,272,240,90,35
"Hombres (019)",538,2,8,239,199,68,22
"Mujeres (020)",121,2,10,33,41,22,13
"Otro tipo (021)",587,,58,263,152,98,16
"Hombres (022)",390,,34,178,98,70,10
"Mujeres (023)",197,,24,85,54,28,6
,,,,,,,
"RURAL (024)",90492,1522,27719,24041,15596,13646,7968
"Hombres (025)",45885,788,14280,12193,7809,6850,3965
"Mujeres (026)",44607,734,13439,11848,7787,6796,4003
"Viviendas particulares (027)",90458,1522,27716,24037,15580,13636,7967
"Hombres (028)",45863,788,14279,12191,7799,6842,3964
"Mujeres (029)",44595,734,13437,11846,7781,6794,4003
"Viviendas colectivas (030)",16,,,,9,7,
"Hombres (031)",10,,,,4,6,
"Mujeres (032)",6,,,,5,1,
"Otro tipo (033)",18,,3,4,7,3,1
"Hombres (034)",12,,1,2,6,2,1
"Mujeres (035)",6,,2,2,1,1,
