"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MANU (000)",10166,1838,3423,3724,329,572,280
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,21,,,1,,
"Profes., científicos e intelectuales (002)",330,285,,36,7,2,
"Técnicos de nivel medio y trab. asimilados (003)",416,154,,177,82,3,
"Jefes y empleados de oficina (004)",173,167,,1,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1876,610,68,954,50,194,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",939,1,3,903,32,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1454,,642,661,115,36,
"Obreros construc.,conf.,papel, fab., instr. (008)",1022,176,277,531,18,20,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3372,260,2199,338,10,285,280
"Otra (010)",24,24,,,,,
"Ocupación no especificada (011)",538,140,234,123,14,27,
"Hombres (012)",7279,949,3235,2494,241,300,60
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",16,15,,,1,,
"Profes., científicos e intelectuales (014)",179,148,,23,6,2,
"Técnicos de nivel medio y trab. asimilados (015)",269,107,,100,61,1,
"Jefes y empleados de oficina (016)",104,102,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",547,174,7,310,16,40,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",835,1,3,806,25,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1354,,627,588,104,35,
"Obreros construc.,conf.,papel, fab., instr. (020)",1001,175,272,518,17,19,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2573,127,2107,86,3,190,60
"Otra (022)",24,24,,,,,
"Ocupación no especificada (023)",377,76,219,62,8,12,
"Mujeres (024)",2887,889,188,1230,88,272,220
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,6,,,,,
"Profes., científicos e intelectuales (026)",151,137,,13,1,,
"Técnicos de nivel medio y trab. asimilados (027)",147,47,,77,21,2,
"Jefes y empleados de oficina (028)",69,65,,,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1329,436,61,644,34,154,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",104,,,97,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",100,,15,73,11,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",21,1,5,13,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",799,133,92,252,7,95,220
"Ocupación no especificada (035)",161,64,15,61,6,15,
,,,,,,,
"URBANA (036)",3217,870,568,1400,73,197,109
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",14,14,,,,,
"Profes., científicos e intelectuales (038)",177,153,,20,2,2,
"Técnicos de nivel medio y trab. asimilados (039)",176,71,,87,17,1,
"Jefes y empleados de oficina (040)",99,97,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",785,227,9,445,13,91,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",160,1,,157,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",409,,122,262,15,10,
"Obreros construc.,conf.,papel, fab., instr. (044)",415,69,125,206,10,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",718,128,246,158,6,71,109
"Otra (046)",19,19,,,,,
"Ocupación no especificada (047)",245,91,66,65,8,15,
"Hombres (048)",1984,453,522,849,47,95,18
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",8,8,,,,,
"Profes., científicos e intelectuales (050)",87,70,,14,1,2,
"Técnicos de nivel medio y trab. asimilados (051)",111,48,,52,11,,
"Jefes y empleados de oficina (052)",54,53,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",264,85,2,149,4,24,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",138,1,,135,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",373,,117,234,13,9,
"Obreros construc.,conf.,papel, fab., instr. (056)",407,69,122,202,9,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",381,57,220,37,2,47,18
"Otra (058)",19,19,,,,,
"Ocupación no especificada (059)",142,43,61,26,5,7,
"Mujeres (060)",1233,417,46,551,26,102,91
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",6,6,,,,,
"Profes., científicos e intelectuales (062)",90,83,,6,1,,
"Técnicos de nivel medio y trab. asimilados (063)",65,23,,35,6,1,
"Jefes y empleados de oficina (064)",45,44,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",521,142,7,296,9,67,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",22,,,22,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",36,,5,28,2,1,
"Obreros construc.,conf.,papel, fab., instr. (068)",8,,3,4,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",337,71,26,121,4,24,91
"Ocupación no especificada (071)",103,48,5,39,3,8,
,,,,,,,
"RURAL (072)",6949,968,2855,2324,256,375,171
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",8,7,,,1,,
"Profes., científicos e intelectuales (074)",153,132,,16,5,,
"Técnicos de nivel medio y trab. asimilados (075)",240,83,,90,65,2,
"Jefes y empleados de oficina (076)",74,70,,1,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",1091,383,59,509,37,103,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",779,,3,746,30,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",1045,,520,399,100,26,
"Obreros construc.,conf.,papel, fab., instr. (080)",607,107,152,325,8,15,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",2654,132,1953,180,4,214,171
"Otra (082)",5,5,,,,,
"Ocupación no especificada (083)",293,49,168,58,6,12,
"Hombres (084)",5295,496,2713,1645,194,205,42
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",8,7,,,1,,
"Profes., científicos e intelectuales (086)",92,78,,9,5,,
"Técnicos de nivel medio y trab. asimilados (087)",158,59,,48,50,1,
"Jefes y empleados de oficina (088)",50,49,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",283,89,5,161,12,16,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",697,,3,671,23,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",981,,510,354,91,26,
"Obreros construc.,conf.,papel, fab., instr. (092)",594,106,150,316,8,14,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2192,70,1887,49,1,143,42
"Otra (094)",5,5,,,,,
"Ocupación no especificada (095)",235,33,158,36,3,5,
"Mujeres (096)",1654,472,142,679,62,170,129
"Profes., científicos e intelectuales (098)",61,54,,7,,,
"Técnicos de nivel medio y trab. asimilados (099)",82,24,,42,15,1,
"Jefes y empleados de oficina (100)",24,21,,,,3,
