"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LAMBAYEQUE (000)",96217,269144,239808,,5100,89.1,1.9
"De 12 a 14 años (001)",9701,40,39,,8,97.5,20
"De 15 a 19 años (002)",13466,1807,1772,595,98.1,32.9,
"De 20 a 24 años (003)",11416,9013,8789,1304,97.5,14.5,
"De 25 a 29 años (004)",9786,16508,16032,1286,97.1,7.8,
"De 30 a 34 años (005)",9240,23271,22379,1086,96.2,4.7,
"De 35 a 39 años (006)",8311,27516,26138,566,95,2.1,
"De 40 a 44 años (007)",7283,28965,26805,221,92.5,0.8,
"De 45 a 49 años (008)",6443,29940,27012,34,90.2,0.1,
"De 50 y más años (009)",20571,132084,110842,,83.9,,
"Sin nivel (010)",11259,70913,58455,325,82.4,0.5,
"De 12 a 14 años (011)",150,3,3,,100,,
"De 15 a 19 años (012)",259,69,68,23,98.6,33.3,
"De 20 a 24 años (013)",340,391,376,46,96.2,11.8,
"De 25 a 29 años (014)",415,908,867,47,95.5,5.2,
"De 30 a 34 años (015)",590,1758,1648,83,93.7,4.7,
"De 35 a 39 años (016)",768,3183,2943,77,92.5,2.4,
"De 40 a 44 años (017)",882,4588,4133,34,90.1,0.7,
"De 45 a 49 años (018)",983,6171,5404,15,87.6,0.2,
"De 50 y más años (019)",6872,53842,43013,,79.9,,
"Educacion Inicial (020)",161,251,241,17,96,6.8,
"De 12 a 14 años (021)",32,,,,,,
"De 15 a 19 años (022)",16,5,5,1,100,20,
"De 20 a 24 años (023)",24,21,21,3,100,14.3,
"De 25 a 29 años (024)",38,71,65,4,91.5,5.6,
"De 30 a 34 años (025)",25,81,80,3,98.8,3.7,
"De 35 a 39 años (026)",26,73,70,6,95.9,8.2,
"Primaria (030)",40043,135672,121579,2532,89.6,1.9,
"De 12 a 14 años (031)",5291,20,20,6,100,30,
"De 15 a 19 años (032)",3751,829,810,261,97.7,31.5,
"De 20 a 24 años (033)",3725,4365,4231,615,96.9,14.1,
"De 25 a 29 años (034)",3760,8449,8159,656,96.6,7.8,
"De 30 a 34 años (035)",3939,12421,11878,576,95.6,4.6,
"De 35 a 39 años (036)",3741,14920,14080,283,94.4,1.9,
"De 40 a 44 años (037)",3359,15849,14488,120,91.4,0.8,
