"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PALLASCA (000)",8426,1321,2014,3324,62,1056,90,559
"Agric., ganadería, caza y silvicultura (001)",3879,9,582,2389,30,869,,
"Pesca (002)",11,3,6,2,,,,
"Explotación de minas y canteras (003)",573,74,491,5,2,1,,
"Industrias manufactureras (004)",268,7,74,169,1,17,,
"Suministro de electricidad, gas y agua (005)",43,6,36,1,,,,
"Construcción (006)",560,23,447,69,16,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",520,48,16,384,6,66,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",20,2,11,6,,1,,
"Comercio al por mayor (009)",15,3,,7,,5,,
"Comercio al por menor (010)",485,43,5,371,6,60,,
"Hoteles y restaurantes (011)",169,27,17,109,4,12,,
"Trans., almac. y comunicaciones (012)",120,41,51,27,1,,,
"Intermediación financiera (013)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (014)",100,64,26,9,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",391,265,126,,,,,
"Enseñanza (016)",642,613,1,27,,1,,
"Servicios sociales y de salud (017)",73,66,1,6,,,,
"Otras activ. serv.comun.soc y personales (018)",211,53,108,40,1,9,,
"Hogares privados con servicio doméstico (019)",90,,,,,,90,
"Actividad economica no especificada (021)",215,20,32,87,,76,,
"Desocupado (022)",559,,,,,,,559
"Hombres (023)",6700,785,1861,2765,59,776,2,452
"Agric., ganadería, caza y silvicultura (024)",3527,9,529,2253,30,706,,
"Pesca (025)",10,3,5,2,,,,
"Explotación de minas y canteras (026)",556,71,477,5,2,1,,
"Industrias manufactureras (027)",224,4,67,140,1,12,,
"Suministro de electricidad, gas y agua (028)",40,3,36,1,,,,
"Construcción (029)",551,23,439,68,16,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",255,21,16,189,6,23,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",20,2,11,6,,1,,
"Comercio al por mayor (032)",11,3,,4,,4,,
"Comercio al por menor (033)",224,16,5,179,6,18,,
"Hoteles y restaurantes (034)",23,6,3,10,1,3,,
"Trans., almac. y comunicaciones (035)",111,35,48,27,1,,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",81,49,23,8,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",286,180,106,,,,,
"Enseñanza (039)",324,308,1,15,,,,
"Servicios sociales y de salud (040)",31,26,1,4,,,,
"Otras activ. serv.comun.soc y personales (041)",166,39,94,26,1,6,,
"Hogares privados con servicio doméstico (042)",2,,,,,,2,
"Actividad economica no especificada (044)",60,7,16,17,,20,,
"Desocupado (045)",452,,,,,,,452
"Mujeres (046)",1726,536,153,559,3,280,88,107
"Agric., ganadería, caza y silvicultura (047)",352,,53,136,,163,,
"Pesca (048)",1,,1,,,,,
"Explotación de minas y canteras (049)",17,3,14,,,,,
"Industrias manufactureras (050)",44,3,7,29,,5,,
"Suministro de electricidad, gas y agua (051)",3,3,,,,,,
"Construcción (052)",9,,8,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",265,27,,195,,43,,
"Comercio al por mayor (055)",4,,,3,,1,,
"Comercio al por menor (056)",261,27,,192,,42,,
"Hoteles y restaurantes (057)",146,21,14,99,3,9,,
"Trans., almac. y comunicaciones (058)",9,6,3,,,,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",19,15,3,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",105,85,20,,,,,
"Enseñanza (062)",318,305,,12,,1,,
"Servicios sociales y de salud (063)",42,40,,2,,,,
"Otras activ. serv.comun.soc y personales (064)",45,14,14,14,,3,,
"Hogares privados con servicio doméstico (065)",88,,,,,,88,
"Actividad economica no especificada (067)",155,13,16,70,,56,,
,,,,,,,,
"URBANA (068)",4637,1007,1245,1562,40,409,68,306
"Agric., ganadería, caza y silvicultura (069)",1550,9,360,894,18,269,,
"Pesca (070)",5,3,1,1,,,,
"Explotación de minas y canteras (071)",260,36,222,1,,1,,
"Industrias manufactureras (072)",195,7,54,120,1,13,,
"Suministro de electricidad, gas y agua (073)",28,6,22,,,,,
"Construcción (074)",369,16,297,42,13,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",411,45,15,292,4,55,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",15,1,10,4,,,,
"Comercio al por mayor (077)",12,2,,5,,5,,
"Comercio al por menor (078)",384,42,5,283,4,50,,
"Hoteles y restaurantes (079)",123,16,13,84,4,6,,
"Trans., almac. y comunicaciones (080)",89,31,34,24,,,,
"Intermediación financiera (081)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (082)",74,48,17,9,,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",352,239,113,,,,,
"Enseñanza (084)",450,439,1,9,,1,,
"Servicios sociales y de salud (085)",63,57,1,5,,,,
"Otras activ. serv.comun.soc y personales (086)",144,44,73,23,,4,,
"Hogares privados con servicio doméstico (087)",68,,,,,,68,
"Actividad economica no especificada (089)",148,9,22,58,,59,,
"Desocupado (090)",306,,,,,,,306
"Hombres (091)",3470,603,1130,1180,37,274,1,245
"Agric., ganadería, caza y silvicultura (092)",1409,9,321,834,18,227,,
"Pesca (093)",4,3,,1,,,,
"Explotación de minas y canteras (094)",251,36,213,1,,1,,
"Industrias manufactureras (095)",159,4,51,94,1,9,,
"Suministro de electricidad, gas y agua (096)",25,3,22,,,,,
"Construcción (097)",362,16,291,41,13,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",196,19,15,141,4,17,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",15,1,10,4,,,,
"Comercio al por mayor (100)",8,2,,2,,4,,
"Comercio al por menor (101)",173,16,5,135,4,13,,
"Hoteles y restaurantes (102)",14,3,2,7,1,1,,
"Trans., almac. y comunicaciones (103)",84,27,33,24,,,,
"Intermediación financiera (104)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (105)",56,34,14,8,,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",254,160,94,,,,,
"Enseñanza (107)",233,228,1,4,,,,
"Servicios sociales y de salud (108)",29,24,1,4,,,,
"Otras activ. serv.comun.soc y personales (109)",106,32,62,10,,2,,
"Hogares privados con servicio doméstico (110)",1,,,,,,1,
"Actividad economica no especificada (112)",41,4,10,11,,16,,
"Desocupado (113)",245,,,,,,,245
"Mujeres (114)",1167,404,115,382,3,135,67,61
"Agric., ganadería, caza y silvicultura (115)",141,,39,60,,42,,
"Pesca (116)",1,,1,,,,,
"Explotación de minas y canteras (117)",9,,9,,,,,
"Industrias manufactureras (118)",36,3,3,26,,4,,
"Suministro de electricidad, gas y agua (119)",3,3,,,,,,
"Construcción (120)",7,,6,1,,,,
