"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia AREQUIPA (000)",352220,308505,43715
"De 3 a 5 años (001)",42470,4317,38153
"De 6 a 11 años (002)",88172,83487,4685
"De 12 a 16 años (003)",81373,81054,319
"De 17 a 24 años (004)",140205,139647,558
"Hombres (005)",175851,153459,22392
"De 3 a 5 años (006)",21775,2240,19535
"De 6 a 11 años (007)",44962,42520,2442
"De 12 a 16 años (008)",40828,40659,169
"De 17 a 24 años (009)",68286,68040,246
"Mujeres (010)",176369,155046,21323
"De 3 a 5 años (011)",20695,2077,18618
"De 6 a 11 años (012)",43210,40967,2243
"De 12 a 16 años (013)",40545,40395,150
"De 17 a 24 años (014)",71919,71607,312
,,,
"URBANA (015)",343557,301156,42401
"De 3 a 5 años (016)",41292,4240,37052
"De 6 a 11 años (017)",85865,81350,4515
"De 12 a 16 años (018)",79285,78985,300
"De 17 a 24 años (019)",137115,136581,534
"Hombres (020)",171252,149538,21714
"De 3 a 5 años (021)",21145,2190,18955
"De 6 a 11 años (022)",43776,41413,2363
"De 12 a 16 años (023)",39740,39583,157
"De 17 a 24 años (024)",66591,66352,239
"Mujeres (025)",172305,151618,20687
"De 3 a 5 años (026)",20147,2050,18097
"De 6 a 11 años (027)",42089,39937,2152
"De 12 a 16 años (028)",39545,39402,143
"De 17 a 24 años (029)",70524,70229,295
,,,
"RURAL (030)",8663,7349,1314
"De 3 a 5 años (031)",1178,77,1101
"De 6 a 11 años (032)",2307,2137,170
"De 12 a 16 años (033)",2088,2069,19
"De 17 a 24 años (034)",3090,3066,24
"Hombres (035)",4599,3921,678
"De 3 a 5 años (036)",630,50,580
"De 6 a 11 años (037)",1186,1107,79
"De 12 a 16 años (038)",1088,1076,12
"De 17 a 24 años (039)",1695,1688,7
"Mujeres (040)",4064,3428,636
"De 3 a 5 años (041)",548,27,521
"De 6 a 11 años (042)",1121,1030,91
"De 12 a 16 años (043)",1000,993,7
"De 17 a 24 años (044)",1395,1378,17
