"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia JAEN (000)",61801,11206,12843,27429,1417,7456,1450
"Conviviente (001)",25749,3702,5831,13252,632,2009,323
"Separado(a) (002)",2414,527,447,1123,61,99,157
"Casado(a) (003)",13274,3100,1893,6781,407,952,141
"Viudo(a) (004)",1346,128,242,804,41,94,37
"Divorciado(a) (005)",302,87,47,138,9,12,9
"Soltero(a) (006)",18716,3662,4383,5331,267,4290,783
"Hombres (008)",47031,6248,11435,22498,1163,5623,64
"Conviviente (009)",20609,2286,5175,11386,539,1204,19
"Separado(a) (010)",1028,125,309,514,34,45,1
"Casado(a) (011)",10100,1926,1650,5668,344,503,9
"Viudo(a) (012)",695,32,165,425,20,52,1
"Divorciado(a) (013)",180,42,37,88,4,9,
"Soltero(a) (014)",14419,1837,4099,4417,222,3810,34
"Mujeres (016)",14770,4958,1408,4931,254,1833,1386
"Conviviente (017)",5140,1416,656,1866,93,805,304
"Separado(a) (018)",1386,402,138,609,27,54,156
"Casado(a) (019)",3174,1174,243,1113,63,449,132
"Viudo(a) (020)",651,96,77,379,21,42,36
"Divorciado(a) (021)",122,45,10,50,5,3,9
"Soltero(a) (022)",4297,1825,284,914,45,480,749
,,,,,,,
"URBANA (024)",33491,10162,5213,14310,1005,1638,1163
"Conviviente (025)",13154,3311,2429,6250,417,512,235
"Separado(a) (026)",1658,490,212,741,42,41,132
"Casado(a) (027)",7789,2817,823,3404,297,337,111
"Viudo(a) (028)",622,117,92,354,23,13,23
"Divorciado(a) (029)",215,79,24,92,9,4,7
"Soltero(a) (030)",10053,3348,1633,3469,217,731,655
"Hombres (032)",22493,5651,4684,10452,779,874,53
"Conviviente (033)",9546,2060,2182,4764,330,191,19
"Separado(a) (034)",596,114,152,292,24,13,1
"Casado(a) (035)",5290,1737,745,2458,235,107,8
"Viudo(a) (036)",259,30,61,149,12,6,1
"Divorciado(a) (037)",113,35,19,52,4,3,
"Soltero(a) (038)",6689,1675,1525,2737,174,554,24
"Mujeres (040)",10998,4511,529,3858,226,764,1110
"Conviviente (041)",3608,1251,247,1486,87,321,216
"Separado(a) (042)",1062,376,60,449,18,28,131
"Casado(a) (043)",2499,1080,78,946,62,230,103
"Viudo(a) (044)",363,87,31,205,11,7,22
"Divorciado(a) (045)",102,44,5,40,5,1,7
"Soltero(a) (046)",3364,1673,108,732,43,177,631
,,,,,,,
"RURAL (048)",28310,1044,7630,13119,412,5818,287
"Conviviente (049)",12595,391,3402,7002,215,1497,88
"Separado(a) (050)",756,37,235,382,19,58,25
"Casado(a) (051)",5485,283,1070,3377,110,615,30
"Viudo(a) (052)",724,11,150,450,18,81,14
"Divorciado(a) (053)",87,8,23,46,,8,2
"Soltero(a) (054)",8663,314,2750,1862,50,3559,128
"Hombres (056)",24538,597,6751,12046,384,4749,11
"Conviviente (057)",11063,226,2993,6622,209,1013,
"Separado(a) (058)",432,11,157,222,10,32,
"Casado(a) (059)",4810,189,905,3210,109,396,1
"Viudo(a) (060)",436,2,104,276,8,46,
"Divorciado(a) (061)",67,7,18,36,,6,
"Soltero(a) (062)",7730,162,2574,1680,48,3256,10
"Mujeres (064)",3772,447,879,1073,28,1069,276
"Conviviente (065)",1532,165,409,380,6,484,88
"Separado(a) (066)",324,26,78,160,9,26,25
"Casado(a) (067)",675,94,165,167,1,219,29
"Viudo(a) (068)",288,9,46,174,10,35,14
"Divorciado(a) (069)",20,1,5,10,,2,2
"Soltero(a) (070)",933,152,176,182,2,303,118
