"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAROCHIRI (000)",32612,23053,2656,2804,4099
"Hombres (001)",22181,14658,2056,2360,3107
"Mujeres (002)",10431,8395,600,444,992
"De 06 a 14 años (003)",346,327,17,2,
"Hombres (004)",192,177,14,1,
"Mujeres (005)",154,150,3,1,
"De 15 a 29 años (006)",10407,6861,1074,1056,1416
"Hombres (007)",7242,4422,815,900,1105
"Mujeres (008)",3165,2439,259,156,311
"De 30 a 44 años (009)",11337,7383,975,1186,1793
"Hombres (010)",7770,4690,757,989,1334
"Mujeres (011)",3567,2693,218,197,459
"De 45 a 64 años (012)",8005,6114,528,523,840
"Hombres (013)",5296,3817,420,434,625
"Mujeres (014)",2709,2297,108,89,215
"De 65 y más años (015)",2517,2368,62,37,50
"Hombres (016)",1681,1552,50,36,43
"Mujeres (017)",836,816,12,1,7
,,,,,
"URBANA (018)",21279,14863,1780,1769,2867
"Hombres (019)",13689,8987,1311,1383,2008
"Mujeres (020)",7590,5876,469,386,859
"De 06 a 14 años (021)",202,189,12,1,
"Hombres (022)",115,106,9,,
"Mujeres (023)",87,83,3,1,
"De 15 a 29 años (024)",6507,4262,700,623,922
"Hombres (025)",4278,2620,503,497,658
"Mujeres (026)",2229,1642,197,126,264
"De 30 a 44 años (027)",7533,4862,652,760,1259
"Hombres (028)",4840,2916,481,584,859
"Mujeres (029)",2693,1946,171,176,400
"De 45 a 64 años (030)",5405,4038,369,354,644
"Hombres (031)",3397,2390,279,272,456
"Mujeres (032)",2008,1648,90,82,188
"De 65 y más años (033)",1632,1512,47,31,42
"Hombres (034)",1059,955,39,30,35
"Mujeres (035)",573,557,8,1,7
,,,,,
"RURAL (036)",11333,8190,876,1035,1232
"Hombres (037)",8492,5671,745,977,1099
"Mujeres (038)",2841,2519,131,58,133
"De 06 a 14 años (039)",144,138,5,1,
"Hombres (040)",77,71,5,1,
"Mujeres (041)",67,67,,,
"De 15 a 29 años (042)",3900,2599,374,433,494
"Hombres (043)",2964,1802,312,403,447
"Mujeres (044)",936,797,62,30,47
"De 30 a 44 años (045)",3804,2521,323,426,534
"Hombres (046)",2930,1774,276,405,475
"Mujeres (047)",874,747,47,21,59
"De 45 a 64 años (048)",2600,2076,159,169,196
"Hombres (049)",1899,1427,141,162,169
"Mujeres (050)",701,649,18,7,27
"De 65 y más años (051)",885,856,15,6,8
"Hombres (052)",622,597,11,6,8
"Mujeres (053)",263,259,4,,
