"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",9901,5,35,142,417,1033,5188,3081
"De 12 a 14 años (001)",76,,,,,,7,69
"De 15 a 19 años (002)",1004,,,,,,548,456
"De 20 a 24 años (003)",1785,,,,,3,1104,678
"De 25 a 29 años (004)",1683,,,,,32,1158,493
"De 30 a 34 años (005)",1236,,,,,75,895,266
"De 35 a 39 años (006)",1256,,,,7,143,852,254
"De 40 a 44 años (007)",755,,,,18,184,370,183
"De 45 a 49 años (008)",672,,,,36,271,215,150
"De 50 y más años (009)",1434,5,35,142,356,325,39,532
"Sin nivel (010)",2930,3,25,87,225,335,1062,1193
"De 12 a 14 años (011)",13,,,,,,1,12
"De 15 a 19 años (012)",124,,,,,,57,67
"De 20 a 24 años (013)",302,,,,,,140,162
"De 25 a 29 años (014)",359,,,,,1,199,159
"De 30 a 34 años (015)",280,,,,,11,172,97
"De 35 a 39 años (016)",410,,,,2,27,259,122
"De 40 a 44 años (017)",281,,,,10,54,114,103
"De 45 a 49 años (018)",313,,,,14,113,94,92
"De 50 y más años (019)",848,3,25,87,199,129,26,379
"Educacion Inicial (020)",23,,,,,,13,10
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",3,,,,,,1,2
"De 20 a 24 años (023)",6,,,,,,4,2
"De 25 a 29 años (024)",9,,,,,,5,4
"De 30 a 34 años (025)",2,,,,,,2,
"De 35 a 39 años (026)",2,,,,,,1,1
"Primaria (030)",4969,2,9,45,167,529,2952,1265
"De 12 a 14 años (031)",50,,,,,,5,45
"De 15 a 19 años (032)",617,,,,,,341,276
"De 20 a 24 años (033)",968,,,,,,655,313
"De 25 a 29 años (034)",865,,,,,16,651,198
"De 30 a 34 años (035)",637,,,,,32,507,98
"De 35 a 39 años (036)",634,,,,5,75,459,95
"De 40 a 44 años (037)",380,,,,7,97,218,58
"De 45 a 49 años (038)",297,,,,16,129,105,47
"De 50 y más años (039)",521,2,9,45,139,180,11,135
"Secundaria (040)",1515,,1,7,19,111,923,454
"De 12 a 14 años (041)",12,,,,,,1,11
"De 15 a 19 años (042)",257,,,,,,147,110
"De 20 a 24 años (043)",444,,,,,3,276,165
"De 25 a 29 años (044)",323,,,,,12,233,78
"De 30 a 34 años (045)",207,,,,,22,144,41
"De 35 a 39 años (046)",128,,,,,23,87,18
"De 40 a 44 años (047)",61,,,,1,22,25,13
"De 45 a 49 años (048)",41,,,,6,19,10,6
"De 50 y más años (049)",42,,1,7,12,10,,12
"Sup. no Univ. incompleta (050)",133,,,2,1,16,70,44
