"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CAMANA (000)",19735,19039,5636,3122,3488,2419,2377,1090,560,347,696,43419
"De 12 a 14 años (001)",1665,1654,1647,6,1,,,,,,11,8
"De 15 a 19 años (002)",2432,2405,2158,227,17,3,,,,,27,270
"De 20 a 24 años (003)",2414,2173,998,834,284,46,11,,,,241,1587
"De 25 a 29 años (004)",2149,1967,326,764,619,199,54,5,,,182,2855
"De 30 a 34 años (005)",1989,1919,139,485,742,361,171,17,4,,70,3922
"De 35 a 39 años (006)",1939,1897,97,289,648,475,325,51,7,5,42,4850
"De 40 a 44 años (007)",1669,1634,70,176,442,441,364,120,16,5,35,4901
"De 45 a 49 años (008)",1419,1395,48,126,292,317,414,145,43,10,24,4880
"De 50 y más años (009)",4059,3995,153,215,443,577,1038,752,490,327,64,20146
"Conviviente (010)",5546,5457,474,1538,1469,841,725,248,113,49,89,13229
"De 12 a 14 años (011)",16,8,4,4,,,,,,,8,4
"De 15 a 19 años (012)",318,297,130,154,11,2,,,,,21,182
"De 20 a 24 años (013)",1048,1018,162,586,229,35,6,,,,30,1175
"De 25 a 29 años (014)",1167,1151,88,429,447,146,36,5,,,16,1943
"De 30 a 34 años (015)",872,870,32,176,349,197,106,9,1,,2,1981
"De 35 a 39 años (016)",748,745,15,91,235,200,175,23,3,3,3,2116
"De 40 a 44 años (017)",500,498,14,47,109,141,134,46,6,1,2,1624
"De 45 a 49 años (018)",339,339,9,30,43,63,129,43,19,3,,1347
"De 50 y más años (019)",538,531,20,21,46,57,139,122,84,42,7,2857
"Separado(a) (020)",865,853,13,214,194,155,161,71,34,11,12,2636
"De 15 a 19 años (022)",22,21,3,17,1,,,,,,1,19
"De 20 a 24 años (023)",60,58,3,45,10,,,,,,2,65
"De 25 a 29 años (024)",79,75,,37,24,12,2,,,,4,130
