"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PALLASCA (000)",7379,7164,44,1201,1094,1019,1721,1239,644,202,215,29628
"De 12 a 14 años (001)",11,5,,5,,,,,,,6,5
"De 15 a 19 años (002)",231,221,3,190,23,4,1,,,,10,252
"De 20 a 24 años (003)",729,669,12,370,219,49,17,2,,,60,1037
"De 25 a 29 años (004)",753,715,5,196,236,162,108,8,,,38,1669
"De 30 a 34 años (005)",776,748,2,123,172,169,214,60,8,,28,2350
"De 35 a 39 años (006)",791,773,,73,108,170,276,114,28,4,18,3013
"De 40 a 44 años (007)",718,712,2,38,72,116,225,185,57,17,6,3372
"De 45 a 49 años (008)",590,584,,31,44,81,165,149,90,24,6,3072
"De 50 y más años (009)",2780,2737,20,175,220,268,715,721,461,157,43,14858
"Sin nivel (010)",2397,2361,18,171,213,260,646,599,356,98,36,12185
"De 12 a 14 años (011)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (012)",13,13,,10,2,,1,,,,,18
"De 20 a 24 años (013)",48,44,2,20,15,4,1,2,,,4,78
"De 25 a 29 años (014)",70,68,,12,23,17,15,1,,,2,180
"De 30 a 34 años (015)",135,130,,13,18,28,53,16,2,,5,484
"De 35 a 39 años (016)",171,170,,9,18,25,67,38,9,4,1,778
"De 40 a 44 años (017)",164,163,1,5,6,24,46,52,23,6,1,886
"De 45 a 49 años (018)",176,174,,6,9,16,46,51,37,9,2,1016
"De 50 y más años (019)",1618,1598,15,95,122,146,417,439,285,79,20,8744
"Educacion Inicial (020)",9,7,,2,1,,4,,,,2,23
"De 15 a 19 años (022)",2,2,,2,,,,,,,,2
"De 20 a 24 años (023)",1,,,,,,,,,,1,
