"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5092,1176,13,1726,1084,155,460,107,371
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",11,,,,2,,3,,6
"Profes., científicos e intelectuales (002)",565,,,,24,37,217,36,251
"Técnicos de nivel medio ytrab.asimilados (003)",82,,,1,10,7,44,7,13
"Jefes y empleados de oficina (004)",206,,,6,86,23,55,22,14
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",276,35,1,86,80,20,32,6,16
"Agricult.trabaj. calif.agrop. y pesquros (006)",1988,606,6,925,372,16,35,6,22
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",209,17,1,38,103,11,20,9,10
"Obreros. construc., conf., papel, fab., instr (008)",157,20,1,50,48,14,13,4,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",1320,389,4,540,308,23,25,12,19
"Otra (010)",1,,,,,,1,,
"Ocupación no especificada (011)",277,109,,80,51,4,15,5,13
"Hombres (012)",3727,738,11,1414,855,89,289,80,251
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",9,,,,2,,2,,5
"Profes., científicos e intelectuales (014)",350,,,,13,18,134,28,157
"Técnicos de nivel medio ytrab.asimilados (015)",40,,,1,6,2,18,4,9
"Jefes y empleados de oficina (016)",106,,,5,40,7,29,12,13
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",109,5,1,38,34,6,14,4,7
"Agricult.trabaj. calif.agrop. y pesquros (018)",1869,533,6,888,367,16,32,6,21
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",181,13,,33,87,11,19,8,10
"Obreros. construc., conf., papel, fab., instr (020)",157,20,1,50,48,14,13,4,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",839,150,3,384,239,15,22,11,15
"Otra (022)",1,,,,,,1,,
"Ocupación no especificada (023)",66,17,,15,19,,5,3,7
"Mujeres (024)",1365,438,2,312,229,66,171,27,120
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",2,,,,,,1,,1
"Profes., científicos e intelectuales (026)",215,,,,11,19,83,8,94
"Técnicos de nivel medio ytrab.asimilados (027)",42,,,,4,5,26,3,4
"Jefes y empleados de oficina (028)",100,,,1,46,16,26,10,1
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",167,30,,48,46,14,18,2,9
"Agricult.trabaj. calif.agrop. y pesquros (030)",119,73,,37,5,,3,,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",28,4,1,5,16,,1,1,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",481,239,1,156,69,8,3,1,4
"Ocupación no especificada (035)",211,92,,65,32,4,10,2,6
,,,,,,,,,
"URBANA (036)",1303,90,4,212,300,85,282,67,263
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",9,,,,2,,2,,5
"Profes., científicos e intelectuales (038)",350,,,,6,11,130,26,177
"Técnicos de nivel medio ytrab.asimilados (039)",55,,,,4,6,32,3,10
"Jefes y empleados de oficina (040)",125,,,1,50,13,37,14,10
