"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAUYOS (000)",7147,6872,55,1071,1159,1094,1724,1123,519,127,275,27261
"De 12 a 14 años (001)",4,3,,2,1,,,,,,1,4
"De 15 a 19 años (002)",136,127,2,107,17,1,,,,,9,144
"De 20 a 24 años (003)",503,438,5,255,134,34,10,,,,65,666
"De 25 a 29 años (004)",674,604,1,198,219,117,59,9,1,,70,1306
"De 30 a 34 años (005)",740,699,1,123,184,187,167,33,4,,41,2012
"De 35 a 39 años (006)",742,713,6,91,145,145,219,85,21,1,29,2497
"De 40 a 44 años (007)",680,659,3,56,97,128,208,111,47,9,21,2774
"De 45 a 49 años (008)",582,573,5,37,64,100,168,123,58,18,9,2714
"De 50 y más años (009)",3086,3056,32,202,298,382,893,762,388,99,30,15144
"PEA (010)",3634,3492,28,619,630,558,801,540,256,60,142,13365
"De 15 a 19 años (012)",53,51,,44,6,1,,,,,2,59
"De 20 a 24 años (013)",249,216,2,131,65,12,6,,,,33,322
"De 25 a 29 años (014)",389,341,,126,125,61,25,4,,,48,689
"De 30 a 34 años (015)",421,395,1,87,118,93,76,18,2,,26,1060
"De 35 a 39 años (016)",409,392,3,59,78,81,114,45,11,1,17,1338
"De 40 a 44 años (017)",395,387,2,43,60,77,114,65,21,5,8,1563
"De 45 a 49 años (018)",336,333,4,28,43,63,92,70,28,5,3,1465
"De 50 y más años (019)",1382,1377,16,101,135,170,374,338,194,49,5,6869
"Ocupada (020)",3591,3455,28,604,623,556,793,536,256,59,136,13261
"De 15 a 19 años (022)",52,50,,43,6,1,,,,,2,58
"De 20 a 24 años (023)",237,207,2,123,65,12,5,,,,30,310
"De 25 a 29 años (024)",383,336,,123,123,61,25,4,,,47,682
