"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CONDESUYOS (000)",8638,25,460,256,201,613,1535,2632,375,2098,37,133,273
"Agric., ganadería, caza y silvicultura (001)",2699,,2,11,1,,1487,4,3,1191,,,
"Pesca (002)",135,,,,,,48,,,87,,,
"Explotación de minas y canteras (003)",3230,1,79,132,48,45,,2450,95,380,,,
"Industrias manufactureras (004)",151,,2,5,,,,128,12,4,,,
"Suministro de electricidad, gas y agua (005)",6,,,,,,,4,1,1,,,
"Construcción (006)",268,,5,4,6,,,12,149,92,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",490,,1,9,1,396,,21,2,60,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,,2,,5,,9,,1,,,
"Comercio al por mayor (009)",22,,,1,,21,,,,,,,
"Comercio al por menor (010)",451,,1,6,1,370,,12,2,59,,,
"Hoteles y restaurantes (011)",199,,2,7,5,123,,,,62,,,
"Trans., almac. y comunicaciones (012)",154,,,3,11,,,6,102,32,,,
"Intermediación financiera (013)",3,,,,2,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",91,,8,16,15,30,,4,2,16,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",215,17,11,25,86,1,,3,8,27,37,,
"Enseñanza (016)",340,7,314,1,11,,,,,7,,,
"Servicios sociales y de salud (017)",81,,29,24,8,6,,,1,13,,,
"Otras activ. serv.comun.soc y personales (018)",117,,7,19,3,12,,,,76,,,
"Hogares privados con servicio doméstico (019)",49,,,,,,,,,49,,,
"Actividad economica no especificada (021)",137,,,,4,,,,,,,133,
"Desocupado (022)",273,,,,,,,,,,,,273
"Hombres (023)",6371,21,241,188,124,205,1106,2492,368,1305,37,61,223
"Agric., ganadería, caza y silvicultura (024)",1710,,2,11,1,,1060,4,3,629,,,
"Pesca (025)",131,,,,,,46,,,85,,,
"Explotación de minas y canteras (026)",3089,1,72,119,45,32,,2376,94,350,,,
"Industrias manufactureras (027)",80,,2,4,,,,64,10,,,,
"Suministro de electricidad, gas y agua (028)",6,,,,,,,4,1,1,,,
"Construcción (029)",250,,4,4,4,,,10,147,81,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",171,,1,4,1,120,,21,2,22,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",14,,,1,,4,,9,,,,,
"Comercio al por mayor (032)",9,,,1,,8,,,,,,,
"Comercio al por menor (033)",148,,1,2,1,108,,12,2,22,,,
"Hoteles y restaurantes (034)",40,,1,4,2,22,,,,11,,,
"Trans., almac. y comunicaciones (035)",144,,,2,9,,,6,100,27,,,
"Intermediación financiera (036)",2,,,,1,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",76,,6,15,7,28,,4,2,14,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",144,13,6,13,40,1,,3,8,23,37,,
"Enseñanza (039)",143,7,132,,3,,,,,1,,,
"Servicios sociales y de salud (040)",26,,11,5,7,2,,,1,,,,
"Otras activ. serv.comun.soc y personales (041)",66,,4,7,2,,,,,53,,,
"Hogares privados con servicio doméstico (042)",7,,,,,,,,,7,,,
"Actividad economica no especificada (044)",63,,,,2,,,,,,,61,
"Desocupado (045)",223,,,,,,,,,,,,223
"Mujeres (046)",2267,4,219,68,77,408,429,140,7,793,,72,50
"Agric., ganadería, caza y silvicultura (047)",989,,,,,,427,,,562,,,
"Pesca (048)",4,,,,,,2,,,2,,,
"Explotación de minas y canteras (049)",141,,7,13,3,13,,74,1,30,,,
"Industrias manufactureras (050)",71,,,1,,,,64,2,4,,,
"Construcción (052)",18,,1,,2,,,2,2,11,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",319,,,5,,276,,,,38,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",3,,,1,,1,,,,1,,,
"Comercio al por mayor (055)",13,,,,,13,,,,,,,
"Comercio al por menor (056)",303,,,4,,262,,,,37,,,
"Hoteles y restaurantes (057)",159,,1,3,3,101,,,,51,,,
"Trans., almac. y comunicaciones (058)",10,,,1,2,,,,2,5,,,
"Intermediación financiera (059)",1,,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",15,,2,1,8,2,,,,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",71,4,5,12,46,,,,,4,,,
"Enseñanza (062)",197,,182,1,8,,,,,6,,,
"Servicios sociales y de salud (063)",55,,18,19,1,4,,,,13,,,
"Otras activ. serv.comun.soc y personales (064)",51,,3,12,1,12,,,,23,,,
"Hogares privados con servicio doméstico (065)",42,,,,,,,,,42,,,
"Actividad economica no especificada (067)",74,,,,2,,,,,,,72,
"Desocupado (068)",50,,,,,,,,,,,,50
,,,,,,,,,,,,,
"URBANA (069)",3311,18,299,134,140,374,448,608,171,931,21,53,114
"Agric., ganadería, caza y silvicultura (070)",888,,1,8,,,435,,3,441,,,
"Pesca (071)",41,,,,,,13,,,28,,,
"Explotación de minas y canteras (072)",804,,14,42,20,16,,497,24,191,,,
"Industrias manufactureras (073)",102,,1,2,,,,89,8,2,,,
"Suministro de electricidad, gas y agua (074)",5,,,,,,,3,1,1,,,
"Construcción (075)",117,,1,1,1,,,2,61,51,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",311,,,6,,250,,12,2,41,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",14,,,2,,5,,6,,1,,,
"Comercio al por mayor (078)",13,,,1,,12,,,,,,,
"Comercio al por menor (079)",284,,,3,,233,,6,2,40,,,
"Hoteles y restaurantes (080)",126,,,4,2,76,,,,44,,,
"Trans., almac. y comunicaciones (081)",94,,,2,9,,,,61,22,,,
"Intermediación financiera (082)",3,,,,2,,,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",58,,6,10,12,15,,4,2,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",173,12,10,23,77,1,,1,8,20,21,,
"Enseñanza (085)",262,6,239,1,10,,,,,6,,,
"Servicios sociales y de salud (086)",59,,24,19,1,6,,,1,8,,,
"Otras activ. serv.comun.soc y personales (087)",61,,3,16,2,10,,,,30,,,
"Hogares privados con servicio doméstico (088)",36,,,,,,,,,36,,,
"Actividad economica no especificada (090)",57,,,,4,,,,,,,53,
"Desocupado (091)",114,,,,,,,,,,,,114
"Hombres (092)",2170,14,133,84,69,122,332,547,164,577,21,24,83
"Agric., ganadería, caza y silvicultura (093)",562,,1,8,,,320,,3,230,,,
"Pesca (094)",40,,,,,,12,,,28,,,
"Explotación de minas y canteras (095)",775,,14,38,17,16,,484,23,183,,,
"Industrias manufactureras (096)",49,,1,1,,,,41,6,,,,
"Suministro de electricidad, gas y agua (097)",5,,,,,,,3,1,1,,,
"Construcción (098)",110,,1,1,,,,2,59,47,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",116,,,2,,82,,12,2,18,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",11,,,1,,4,,6,,,,,
"Comercio al por mayor (101)",7,,,1,,6,,,,,,,
"Comercio al por menor (102)",98,,,,,72,,6,2,18,,,
"Hoteles y restaurantes (103)",11,,,1,,7,,,,3,,,
"Trans., almac. y comunicaciones (104)",85,,,2,7,,,,59,17,,,
"Intermediación financiera (105)",2,,,,1,,,,,1,,,
"Activid.inmobil., empres. y alquileres (106)",45,,4,9,5,14,,4,2,7,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",105,8,5,12,33,1,,1,8,16,21,,
"Enseñanza (108)",105,6,95,,3,,,,,1,,,
"Servicios sociales y de salud (109)",18,,10,5,,2,,,1,,,,
"Otras activ. serv.comun.soc y personales (110)",27,,2,5,1,,,,,19,,,
"Hogares privados con servicio doméstico (111)",6,,,,,,,,,6,,,
"Actividad economica no especificada (113)",26,,,,2,,,,,,,24,
"Desocupado (114)",83,,,,,,,,,,,,83
"Mujeres (115)",1141,4,166,50,71,252,116,61,7,354,,29,31
"Agric., ganadería, caza y silvicultura (116)",326,,,,,,115,,,211,,,
"Pesca (117)",1,,,,,,1,,,,,,
"Explotación de minas y canteras (118)",29,,,4,3,,,13,1,8,,,
"Industrias manufactureras (119)",53,,,1,,,,48,2,2,,,
"Construcción (121)",7,,,,1,,,,2,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",195,,,4,,168,,,,23,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",3,,,1,,1,,,,1,,,
"Comercio al por mayor (124)",6,,,,,6,,,,,,,
"Comercio al por menor (125)",186,,,3,,161,,,,22,,,
"Hoteles y restaurantes (126)",115,,,3,2,69,,,,41,,,
"Trans., almac. y comunicaciones (127)",9,,,,2,,,,2,5,,,
"Intermediación financiera (128)",1,,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",13,,2,1,7,1,,,,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",68,4,5,11,44,,,,,4,,,
"Enseñanza (131)",157,,144,1,7,,,,,5,,,
"Servicios sociales y de salud (132)",41,,14,14,1,4,,,,8,,,
"Otras activ. serv.comun.soc y personales (133)",34,,1,11,1,10,,,,11,,,
"Hogares privados con servicio doméstico (134)",30,,,,,,,,,30,,,
"Actividad economica no especificada (136)",31,,,,2,,,,,,,29,
"Desocupado (137)",31,,,,,,,,,,,,31
,,,,,,,,,,,,,
"RURAL (138)",5327,7,161,122,61,239,1087,2024,204,1167,16,80,159
"Agric., ganadería, caza y silvicultura (139)",1811,,1,3,1,,1052,4,,750,,,
"Pesca (140)",94,,,,,,35,,,59,,,
"Explotación de minas y canteras (141)",2426,1,65,90,28,29,,1953,71,189,,,
"Industrias manufactureras (142)",49,,1,3,,,,39,4,2,,,
"Suministro de electricidad, gas y agua (143)",1,,,,,,,1,,,,,
"Construcción (144)",151,,4,3,5,,,10,88,41,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",179,,1,3,1,146,,9,,19,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",3,,,,,,,3,,,,,
"Comercio al por mayor (147)",9,,,,,9,,,,,,,
"Comercio al por menor (148)",167,,1,3,1,137,,6,,19,,,
"Hoteles y restaurantes (149)",73,,2,3,3,47,,,,18,,,
"Trans., almac. y comunicaciones (150)",60,,,1,2,,,6,41,10,,,
