"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHEPEN (000)",26640,17526,3958,3243,1913
"Agric., ganadería, caza y silvicultura (001)",11308,6209,2431,1912,756
"Pesca (002)",38,20,6,9,3
"Explotación de minas y canteras (003)",23,3,2,7,11
"Industrias manufactureras (004)",1133,923,118,59,33
"Suministro de electricidad, gas y agua (005)",52,4,7,32,9
"Construcción (006)",1218,837,245,103,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4983,4575,262,128,18
"Venta, mant.y rep. veh.autom y motoc. (008)",420,355,45,14,6
"Comercio al por mayor (009)",256,201,22,21,12
"Comercio al por menor (010)",4307,4019,195,93,
"Hoteles y restaurantes (011)",988,879,90,17,2
"Trans., almac. y comunicaciones (012)",2243,1892,183,101,67
"Intermediación financiera (013)",120,20,20,56,24
"Activid.inmobil., empres. y alquileres (014)",646,395,88,111,52
"Admin.pub. y defensa; p. segur soc.afil (015)",479,,,,479
"Enseñanza (016)",1495,336,391,614,154
"Servicios sociales y de salud (017)",366,106,7,8,245
"Otras activ. serv.comun.soc y personales (018)",524,369,81,62,12
"Hogares privados con servicio doméstico (019)",606,606,,,
"Actividad economica no especificada (021)",418,352,27,24,15
"Hombres (022)",18992,12535,3097,2191,1169
"Agric., ganadería, caza y silvicultura (023)",9551,5628,2040,1394,489
"Pesca (024)",36,20,5,8,3
"Explotación de minas y canteras (025)",22,3,2,6,11
"Industrias manufactureras (026)",897,720,98,53,26
"Suministro de electricidad, gas y agua (027)",45,4,7,26,8
"Construcción (028)",1184,827,240,87,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2753,2485,168,85,15
"Venta, mant.y rep. veh.autom y motoc. (030)",386,331,36,13,6
"Comercio al por mayor (031)",167,130,12,16,9
"Comercio al por menor (032)",2200,2024,120,56,
"Hoteles y restaurantes (033)",324,269,43,11,1
"Trans., almac. y comunicaciones (034)",2133,1810,169,91,63
"Intermediación financiera (035)",71,12,14,32,13
"Activid.inmobil., empres. y alquileres (036)",474,284,70,84,36
"Admin.pub. y defensa; p. segur soc.afil (037)",318,,,,318
"Enseñanza (038)",562,78,164,266,54
"Servicios sociales y de salud (039)",148,58,3,2,85
"Otras activ. serv.comun.soc y personales (040)",319,213,61,35,10
