"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUANCAYO (000)",233332,134770,9390,2549,78883,2559,130,465,177,4409
"Hombres (001)",90879,67186,6140,1210,12389,1121,84,231,165,2353
"Mujeres (002)",142453,67584,3250,1339,66494,1438,46,234,12,2056
"De 06 a 14 años (003)",86840,84081,,,1599,579,,54,,527
"Hombres (004)",43739,42417,,,736,290,,25,,271
"Mujeres (005)",43101,41664,,,863,289,,29,,256
"De 15 a 29 años (006)",73100,49520,119,462,21338,,36,113,177,1335
"Hombres (007)",29169,24269,49,212,3688,,19,57,165,710
"Mujeres (008)",43931,25251,70,250,17650,,17,56,12,625
"De 30 a 44 años (009)",25475,975,237,474,22740,,41,104,,904
"Hombres (010)",3632,426,98,205,2265,,30,66,,542
"Mujeres (011)",21843,549,139,269,20475,,11,38,,362
"De 45 a 64 años (012)",26134,171,3366,713,20910,58,39,95,,782
"Hombres (013)",5762,64,2045,317,2777,32,25,47,,455
"Mujeres (014)",20372,107,1321,396,18133,26,14,48,,327
"De 65 y más años (015)",21783,23,5668,900,12296,1922,14,99,,861
"Hombres (016)",8577,10,3948,476,2923,799,10,36,,375
"Mujeres (017)",13206,13,1720,424,9373,1123,4,63,,486
,,,,,,,,,,
"AREA URBANA (018)",204592,118983,9035,2369,67501,2156,118,412,173,3845
"Hombres (019)",80221,59149,5873,1102,10753,910,76,206,161,1991
"Mujeres (020)",124371,59834,3162,1267,56748,1246,42,206,12,1854
"De 06 a 14 años (021)",74831,72438,,,1421,486,,50,,436
"Hombres (022)",37671,36511,,,675,239,,24,,222
"Mujeres (023)",37160,35927,,,746,247,,26,,214
"De 15 a 29 años (024)",65627,45442,116,428,18131,,34,101,173,1202
"Hombres (025)",26490,22163,47,193,3243,,17,51,161,615
"Mujeres (026)",39137,23279,69,235,14888,,17,50,12,587
"De 30 a 44 años (027)",22033,929,225,426,19533,,34,96,,790
"Hombres (028)",3133,407,93,173,1916,,25,60,,459
"Mujeres (029)",18900,522,132,253,17617,,9,36,,331
"De 45 a 64 años (030)",22882,153,3263,668,17952,49,36,83,,678
"Hombres (031)",5168,58,1972,292,2369,28,24,41,,384
"Mujeres (032)",17714,95,1291,376,15583,21,12,42,,294
"De 65 y más años (033)",19219,21,5431,847,10464,1621,14,82,,739
"Hombres (034)",7759,10,3761,444,2550,643,10,30,,311
"Mujeres (035)",11460,11,1670,403,7914,978,4,52,,428
,,,,,,,,,,
"AREA RURAL (036)",28740,15787,355,180,11382,403,12,53,4,564
"Hombres (037)",10658,8037,267,108,1636,211,8,25,4,362
"Mujeres (038)",18082,7750,88,72,9746,192,4,28,,202
"De 06 a 14 años (039)",12009,11643,,,178,93,,4,,91
"Hombres (040)",6068,5906,,,61,51,,1,,49
"Mujeres (041)",5941,5737,,,117,42,,3,,42
"De 15 a 29 años (042)",7473,4078,3,34,3207,,2,12,4,133
"Hombres (043)",2679,2106,2,19,445,,2,6,4,95
"Mujeres (044)",4794,1972,1,15,2762,,,6,,38
"De 30 a 44 años (045)",3442,46,12,48,3207,,7,8,,114
"Hombres (046)",499,19,5,32,349,,5,6,,83
"Mujeres (047)",2943,27,7,16,2858,,2,2,,31
"De 45 a 64 años (048)",3252,18,103,45,2958,9,3,12,,104
"Hombres (049)",594,6,73,25,408,4,1,6,,71
"Mujeres (050)",2658,12,30,20,2550,5,2,6,,33
"De 65 y más años (051)",2564,2,237,53,1832,301,,17,,122
"Hombres (052)",818,,187,32,373,156,,6,,64
"Mujeres (053)",1746,2,50,21,1459,145,,11,,58
