"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia CASTROVIRREYNA",,,,,,,,,
"Viviendas particulares (001)",5978,133,4777,16,49,40,780,3,180
"Ocupantes presentes (002)",18472,293,15381,47,178,119,1983,8,463
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",5163,129,4567,12,22,20,352,,61
"Ocupantes presentes (005)",16255,287,14765,27,79,58,843,,196
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",2,2,,,,,,,
"Ocupantes presentes (008)",4,4,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",8,,8,,,,,,
"Ocupantes presentes (011)",13,,13,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",52,,52,,,,,,
"Ocupantes presentes (014)",145,,145,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",634,,143,3,27,19,428,3,11
"Ocupantes presentes (017)",1794,,435,16,99,54,1140,8,42
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",6,,,1,,1,,,4
"Ocupantes presentes (020)",26,,,4,,7,,,15
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",9,2,7,,,,,,
"Ocupantes presentes (023)",25,2,23,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",104,,,,,,,,104
"Ocupantes presentes (026)",210,,,,,,,,210
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1888,118,1529,2,1,2,137,,99
"Ocupantes presentes (029)",5542,258,4821,5,5,13,237,,203
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1723,115,1464,1,1,1,137,,4
"Ocupantes presentes (032)",5161,253,4647,1,5,6,237,,12
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",2,2,,,,,,,
"Ocupantes presentes (035)",4,4,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",8,,8,,,,,,
"Ocupantes presentes (038)",13,,13,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",52,,52,,,,,,
"Ocupantes presentes (041)",145,,145,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",6,,,1,,1,,,4
"Ocupantes presentes (047)",26,,,4,,7,,,15
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",6,1,5,,,,,,
"Ocupantes presentes (050)",17,1,16,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",91,,,,,,,,91
"Ocupantes presentes (053)",176,,,,,,,,176
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",4090,15,3248,14,48,38,643,3,81
"Ocupantes presentes (056)",12930,35,10560,42,173,106,1746,8,260
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3440,14,3103,11,21,19,215,,57
"Ocupantes presentes (059)",11094,34,10118,26,74,52,606,,184
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",634,,143,3,27,19,428,3,11
"Ocupantes presentes (071)",1794,,435,16,99,54,1140,8,42
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,1,2,,,,,,
"Ocupantes presentes (077)",8,1,7,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",13,,,,,,,,13
"Ocupantes presentes (080)",34,,,,,,,,34
