"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",95290,6485,13849,14037,10951,15594,12672,17952,3750
"Sin nivel (001)",14572,6485,2146,324,366,940,1152,2297,862
"Educación inicial (002)",2666,,2569,43,13,22,19,,
"Primaria (003)",47059,,9134,10660,3685,6049,5531,9489,2511
"Secundaria (004)",23297,,,3010,6424,5920,3856,3837,250
"Superior no univ. incompleto (005)",2009,,,,314,903,409,361,22
"Superior no univ. completo (006)",2312,,,,,722,766,785,39
"Superior univ. incompleto (007)",1209,,,,149,539,234,271,16
"Superior univ. completo (008)",2166,,,,,499,705,912,50
"Hombres (010)",48741,3283,6982,7260,5479,7750,6431,9671,1885
"Sin nivel (011)",6099,3283,1066,136,97,238,302,762,215
"Educación inicial (012)",1363,,1322,19,4,9,9,,
"Primaria (013)",23794,,4594,5570,1720,2785,2742,4975,1408
"Secundaria (014)",13066,,,1535,3427,3274,2195,2465,170
"Superior no univ. incompleto (015)",1176,,,,160,516,232,252,16
"Superior no univ. completo (016)",1225,,,,,371,397,434,23
"Superior univ. incompleto (017)",727,,,,71,298,148,197,13
"Superior univ. completo (018)",1291,,,,,259,406,586,40
"Mujeres (020)",46549,3202,6867,6777,5472,7844,6241,8281,1865
"Sin nivel (021)",8473,3202,1080,188,269,702,850,1535,647
"Educación inicial (022)",1303,,1247,24,9,13,10,,
"Primaria (023)",23265,,4540,5090,1965,3264,2789,4514,1103
"Secundaria (024)",10231,,,1475,2997,2646,1661,1372,80
"Superior no univ. incompleto (025)",833,,,,154,387,177,109,6
"Superior no univ. completo (026)",1087,,,,,351,369,351,16
"Superior univ. incompleto (027)",482,,,,78,241,86,74,3
"Superior univ. completo (028)",875,,,,,240,299,326,10
,,,,,,,,,
"URBANA (030)",57955,3342,7060,8386,7182,9433,7963,11831,2758
"Sin nivel (031)",5369,3342,491,87,61,152,165,573,498
"Educación inicial (032)",1739,,1681,29,5,9,15,,
"Primaria (033)",24632,,4888,5653,1401,2286,2724,5771,1909
"Secundaria (034)",19021,,,2617,5265,4493,3128,3291,227
