"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DOS DE MAYO (000)",12132,10082,759,244,1047
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,,1,2,30
"Profes., científicos e intelectuales (002)",921,104,100,98,619
"Técnicos de nivel medio y trab. asimilados (003)",190,58,7,11,114
"Jefes y empleados de oficina (004)",142,18,5,5,114
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",760,726,16,7,11
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3919,3768,148,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",361,275,22,37,27
"Obreros construc.,conf.,papel, fab., instr. (008)",353,258,45,26,24
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5145,4624,399,50,72
"Otra (010)",28,,,,28
"Ocupación no especificada (011)",280,251,16,5,8
"Hombres (012)",9014,7605,604,190,615
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",30,,,2,28
"Profes., científicos e intelectuales (014)",496,59,57,58,322
"Técnicos de nivel medio y trab. asimilados (015)",125,46,7,9,63
"Jefes y empleados de oficina (016)",77,8,4,4,61
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",294,275,8,6,5
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3421,3284,134,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",319,236,20,36,27
"Obreros construc.,conf.,papel, fab., instr. (020)",353,258,45,26,24
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3756,3341,321,43,51
"Otra (022)",28,,,,28
"Ocupación no especificada (023)",115,98,8,3,6
"Mujeres (024)",3118,2477,155,54,432
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,1,,2
"Profes., científicos e intelectuales (026)",425,45,43,40,297
"Técnicos de nivel medio y trab. asimilados (027)",65,12,,2,51
"Jefes y empleados de oficina (028)",65,10,1,1,53
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",466,451,8,1,6
"Agricult.trabaj.calif.agrop.y pesqueros (030)",498,484,14,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",42,39,2,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1389,1283,78,7,21
"Ocupación no especificada (035)",165,153,8,2,2
,,,,,
