"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ISLAY (000)",21271,4645,7547,7268,512,921,378
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",43,34,,,9,,
"Profes., científicos e intelectuales (002)",1213,1031,,167,13,2,
"Técnicos de nivel medio y trab. asimilados (003)",936,630,,259,41,5,1
"Jefes y empleados de oficina (004)",899,891,,1,,7,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2968,849,44,1752,58,263,2
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2154,10,135,1693,315,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1524,,733,742,28,21,
"Obreros construc.,conf.,papel, fab., instr. (008)",2062,234,780,1002,30,16,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8589,651,5769,1240,5,549,375
"Otra (010)",248,248,,,,,
"Ocupación no especificada (011)",635,67,86,412,13,57,
"Hombres (012)",13627,2638,5529,4608,400,414,38
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",26,18,,,8,,
"Profes., científicos e intelectuales (014)",527,402,,110,13,2,
"Técnicos de nivel medio y trab. asimilados (015)",611,394,,182,32,3,
"Jefes y empleados de oficina (016)",451,450,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1103,504,17,506,25,51,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1861,8,133,1459,260,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1324,,677,606,23,18,
"Obreros construc.,conf.,papel, fab., instr. (020)",2011,233,763,972,29,14,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5024,357,3891,435,2,301,38
"Otra (022)",237,237,,,,,
"Ocupación no especificada (023)",452,35,48,338,8,23,
"Mujeres (024)",7644,2007,2018,2660,112,507,340
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",17,16,,,1,,
"Profes., científicos e intelectuales (026)",686,629,,57,,,
"Técnicos de nivel medio y trab. asimilados (027)",325,236,,77,9,2,1
"Jefes y empleados de oficina (028)",448,441,,1,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1865,345,27,1246,33,212,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",293,2,2,234,55,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",200,,56,136,5,3,
"Obreros construc.,conf.,papel, fab., instr. (032)",51,1,17,30,1,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",3565,294,1878,805,3,248,337
"Otra (034)",11,11,,,,,
"Ocupación no especificada (035)",183,32,38,74,5,34,
,,,,,,,
"URBANA (036)",18750,4405,6096,6777,372,731,369
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",42,33,,,9,,
"Profes., científicos e intelectuales (038)",1166,987,,165,12,2,
"Técnicos de nivel medio y trab. asimilados (039)",900,608,,246,40,5,1
"Jefes y empleados de oficina (040)",860,852,,1,,7,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2838,813,32,1683,57,251,2
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1601,8,55,1356,181,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",1384,,608,727,28,21,
"Obreros construc.,conf.,papel, fab., instr. (044)",1940,212,712,972,29,15,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",7206,633,4609,1218,5,375,366
"Otra (046)",194,194,,,,,
"Ocupación no especificada (047)",619,65,80,409,11,54,
"Hombres (048)",11770,2448,4440,4233,288,326,35
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",26,18,,,8,,
"Profes., científicos e intelectuales (050)",497,375,,108,12,2,
"Técnicos de nivel medio y trab. asimilados (051)",582,374,,174,31,3,
"Jefes y empleados de oficina (052)",427,426,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1045,474,11,484,25,51,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1380,6,53,1167,153,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",1189,,554,594,23,18,
"Obreros construc.,conf.,papel, fab., instr. (056)",1889,211,695,942,28,13,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",4105,345,3082,427,2,214,35
"Otra (058)",185,185,,,,,
"Ocupación no especificada (059)",445,34,45,337,6,23,
"Mujeres (060)",6980,1957,1656,2544,84,405,334
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",16,15,,,1,,
"Profes., científicos e intelectuales (062)",669,612,,57,,,
"Técnicos de nivel medio y trab. asimilados (063)",318,234,,72,9,2,1
"Jefes y empleados de oficina (064)",433,426,,1,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1793,339,21,1199,32,200,2
"Agricult.trabaj.calif.agrop.y pesqueros (066)",221,2,2,189,28,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",195,,54,133,5,3,
"Obreros construc.,conf.,papel, fab., instr. (068)",51,1,17,30,1,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",3101,288,1527,791,3,161,331
"Otra (070)",9,9,,,,,
"Ocupación no especificada (071)",174,31,35,72,5,31,
,,,,,,,
"RURAL (072)",2521,240,1451,491,140,190,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",1,1,,,,,
"Profes., científicos e intelectuales (074)",47,44,,2,1,,
"Técnicos de nivel medio y trab. asimilados (075)",36,22,,13,1,,
"Jefes y empleados de oficina (076)",39,39,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",130,36,12,69,1,12,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",553,2,80,337,134,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",140,,125,15,,,
"Obreros construc.,conf.,papel, fab., instr. (080)",122,22,68,30,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",1383,18,1160,22,,174,9
"Otra (082)",54,54,,,,,
"Ocupación no especificada (083)",16,2,6,3,2,3,
"Hombres (084)",1857,190,1089,375,112,88,3
"Profes., científicos e intelectuales (086)",30,27,,2,1,,
"Técnicos de nivel medio y trab. asimilados (087)",29,20,,8,1,,
"Jefes y empleados de oficina (088)",24,24,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",58,30,6,22,,,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",481,2,80,292,107,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",135,,123,12,,,
"Obreros construc.,conf.,papel, fab., instr. (092)",122,22,68,30,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",919,12,809,8,,87,3
"Otra (094)",52,52,,,,,
"Ocupación no especificada (095)",7,1,3,1,2,,
"Mujeres (096)",664,50,362,116,28,102,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",17,17,,,,,
