"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PASCO (000)",42971,32795,10176
"Casa independiente (001)",37189,29002,8187
"Departamento en edificio (002)",939,939,
"Vivienda en quinta (003)",1269,1269,
"Vivienda en casa de vecindad (004)",1441,1441,
"Choza o cabaña (005)",1970,,1970
"Vivienda improvisada (006)",81,81,
"Local no dest.para hab. humana (007)",58,47,11
"Otro tipo (008)",24,16,8
