"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANTA (000)",7538,64,3627,2243,1365,239
"Conviviente (001)",1769,2,615,733,373,46
"Separado(a) (002)",339,,83,148,93,15
"Casado(a) (003)",1477,,159,535,658,125
"Viudo(a) (004)",88,,3,10,47,28
"Divorciado(a) (005)",36,,5,15,13,3
"Soltero(a) (006)",3829,62,2762,802,181,22
"Hombres (008)",5400,44,2445,1576,1125,210
"Conviviente (009)",1338,1,391,574,330,42
"Separado(a) (010)",178,,33,70,61,14
"Casado(a) (011)",1114,,87,357,558,112
"Viudo(a) (012)",50,,1,4,26,19
"Divorciado(a) (013)",19,,1,7,8,3
"Soltero(a) (014)",2701,43,1932,564,142,20
"Mujeres (016)",2138,20,1182,667,240,29
"Conviviente (017)",431,1,224,159,43,4
"Separado(a) (018)",161,,50,78,32,1
"Casado(a) (019)",363,,72,178,100,13
"Viudo(a) (020)",38,,2,6,21,9
"Divorciado(a) (021)",17,,4,8,5,
"Soltero(a) (022)",1128,19,830,238,39,2
,,,,,,
"AREA URBANA (024)",7169,50,3460,2153,1295,211
"Conviviente (025)",1657,2,587,689,342,37
"Separado(a) (026)",327,,82,142,90,13
"Casado(a) (027)",1429,,156,524,630,119
"Viudo(a) (028)",80,,3,9,46,22
"Divorciado(a) (029)",36,,5,15,13,3
"Soltero(a) (030)",3640,48,2627,774,174,17
"Hombres (032)",5077,31,2314,1492,1058,182
"Conviviente (033)",1234,1,368,532,300,33
"Separado(a) (034)",168,,33,64,59,12
"Casado(a) (035)",1068,,85,346,531,106
"Viudo(a) (036)",43,,1,4,25,13
"Divorciado(a) (037)",19,,1,7,8,3
"Soltero(a) (038)",2545,30,1826,539,135,15
"Mujeres (040)",2092,19,1146,661,237,29
"Conviviente (041)",423,1,219,157,42,4
"Separado(a) (042)",159,,49,78,31,1
"Casado(a) (043)",361,,71,178,99,13
"Viudo(a) (044)",37,,2,5,21,9
"Divorciado(a) (045)",17,,4,8,5,
"Soltero(a) (046)",1095,18,801,235,39,2
,,,,,,
"AREA RURAL (048)",369,14,167,90,70,28
"Conviviente (049)",112,,28,44,31,9
"Separado(a) (050)",12,,1,6,3,2
"Casado(a) (051)",48,,3,11,28,6
"Viudo(a) (052)",8,,,1,1,6
"Soltero(a) (054)",189,14,135,28,7,5
"Hombres (056)",323,13,131,84,67,28
"Conviviente (057)",104,,23,42,30,9
"Separado(a) (058)",10,,,6,2,2
"Casado(a) (059)",46,,2,11,27,6
"Viudo(a) (060)",7,,,,1,6
"Soltero(a) (062)",156,13,106,25,7,5
"Mujeres (064)",46,1,36,6,3,
"Conviviente (065)",8,,5,2,1,
"Separado(a) (066)",2,,1,,1,
"Casado(a) (067)",2,,1,,1,
"Viudo(a) (068)",1,,,1,,
"Soltero(a) (070)",33,1,29,3,,
