"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VIRU (000)",30684,15492,3135,2625,9432
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",21,,2,2,17
"Profes., científicos e intelectuales (002)",506,190,104,107,105
"Técnicos de nivel medio y trab. asimilados (003)",805,298,65,84,358
"Jefes y empleados de oficina (004)",558,114,51,75,318
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2548,2243,114,69,122
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4868,4193,541,48,86
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3591,733,145,306,2407
"Obreros construc.,conf.,papel, fab., instr. (008)",1980,1205,211,190,374
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",14859,5976,1818,1681,5384
"Otra (010)",21,,,,21
"Ocupación no especificada (011)",927,540,84,63,240
"Hombres (012)",21886,11248,2358,1893,6387
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",16,,2,1,13
"Profes., científicos e intelectuales (014)",244,78,49,55,62
"Técnicos de nivel medio y trab. asimilados (015)",579,204,46,72,257
"Jefes y empleados de oficina (016)",354,59,25,49,221
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",987,760,62,58,107
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4303,3747,444,41,71
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2304,638,117,203,1346
"Obreros construc.,conf.,papel, fab., instr. (020)",1925,1173,209,180,363
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",10613,4298,1345,1193,3777
"Otra (022)",21,,,,21
"Ocupación no especificada (023)",540,291,59,41,149
"Mujeres (024)",8798,4244,777,732,3045
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,,1,4
"Profes., científicos e intelectuales (026)",262,112,55,52,43
"Técnicos de nivel medio y trab. asimilados (027)",226,94,19,12,101
"Jefes y empleados de oficina (028)",204,55,26,26,97
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1561,1483,52,11,15
"Agricult.trabaj.calif.agrop.y pesqueros (030)",565,446,97,7,15
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",1287,95,28,103,1061
"Obreros construc.,conf.,papel, fab., instr. (032)",55,32,2,10,11
