"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MAYNAS (000)",124453,117123,696,26269,25044,19744,24337,12432,5988,2613,7330,400945
"De 12 a 14 años (001)",336,157,14,133,10,,,,,,179,153
"De 15 a 19 años (002)",6285,5502,113,4456,806,104,23,,,,783,6472
"De 20 a 24 años (003)",16833,14280,126,7833,4543,1395,344,39,,,2553,22776
"De 25 a 29 años (004)",17619,15786,93,5315,5256,3111,1843,152,16,,1833,34098
"De 30 a 34 años (005)",15789,15076,66,2919,4333,3551,3343,733,115,16,713,42443
"De 35 a 39 años (006)",14386,14047,64,1680,3234,3101,4011,1489,402,66,339,48592
"De 40 a 44 años (007)",12949,12724,41,1152,2200,2786,3892,1840,646,167,225,49986
"De 45 a 49 años (008)",10633,10473,48,827,1606,1899,3089,1881,827,296,160,45635
"De 50 y más años (009)",29623,29078,131,1954,3056,3797,7792,6298,3982,2068,545,150790
"Sin nivel (010)",5715,5490,40,298,396,489,1319,1360,974,614,225,32179
"De 12 a 14 años (011)",7,5,2,2,1,,,,,,2,4
"De 15 a 19 años (012)",61,53,3,36,11,3,,,,,8,67
"De 20 a 24 años (013)",175,146,3,41,52,26,19,5,,,29,337
"De 25 a 29 años (014)",195,173,,24,32,43,63,9,2,,22,562
"De 30 a 34 años (015)",259,240,1,20,28,45,88,42,15,1,19,1005
"De 35 a 39 años (016)",343,331,5,13,36,36,109,89,31,12,12,1647
"De 40 a 44 años (017)",408,382,,14,24,42,115,100,60,27,26,2139
"De 45 a 49 años (018)",405,392,,12,12,38,91,107,76,56,13,2511
"De 50 y más años (019)",3862,3768,26,136,200,256,834,1008,790,518,94,23907
"Educacion Inicial (020)",98,88,,25,16,18,24,4,1,,10,246
