"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YUNGAY (000)",54181,12560,41621
"Casa independiente (001)",53577,12378,41199
"Departamento en edificio (002)",36,36,
"Vivienda en quinta (003)",87,87,
"Vivienda en casa de vecindad (004)",50,50,
"Choza o cabaña (005)",420,,420
"Vivienda improvisada (006)",9,9,
"Local no dest.para hab. humana (007)",2,,2
