"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SAN ROMAN (000)",93799,184778,168664,,3905,91.3,2.1
"De 12 a 14 años (001)",8511,34,31,,,91.2,
"De 15 a 19 años (002)",13298,950,918,299,96.6,31.5,
"De 20 a 24 años (003)",13149,6440,6266,1046,97.3,16.2,
"De 25 a 29 años (004)",11442,13482,13103,1043,97.2,7.7,
"De 30 a 34 años (005)",10305,20254,19463,817,96.1,4,
"De 35 a 39 años (006)",9044,24265,23004,484,94.8,2,
"De 40 a 44 años (007)",7368,24019,22480,189,93.6,0.8,
"De 45 a 49 años (008)",5973,22977,21140,27,92,0.1,
"De 50 y más años (009)",14709,72357,62259,,86,,
"Conviviente (010)",25811,51308,48728,2758,95,5.4,
"De 12 a 14 años (011)",81,18,16,,88.9,,
"De 15 a 19 años (012)",1451,679,657,248,96.8,36.5,
"De 20 a 24 años (013)",5310,5119,4980,899,97.3,17.6,
"De 25 a 29 años (014)",6075,9279,9041,782,97.4,8.4,
"De 30 a 34 años (015)",5038,10733,10345,499,96.4,4.6,
"De 35 a 39 años (016)",3460,9441,8930,243,94.6,2.6,
"De 40 a 44 años (017)",2055,6641,6272,82,94.4,1.2,
"De 45 a 49 años (018)",1123,4099,3802,5,92.8,0.1,
"De 50 y más años (019)",1218,5299,4685,,88.4,,
"Separado(a) (020)",4057,10419,9609,143,92.2,1.4,
"De 12 a 14 años (021)",3,,,,,,
"De 15 a 19 años (022)",82,61,61,18,100,29.5,
"De 20 a 24 años (023)",300,332,323,37,97.3,11.1,
"De 25 a 29 años (024)",468,684,666,27,97.4,3.9,
"De 30 a 34 años (025)",626,1179,1135,33,96.3,2.8,
"De 35 a 39 años (026)",630,1454,1367,15,94,1,
"De 40 a 44 años (027)",560,1601,1486,12,92.8,0.7,
"De 45 a 49 años (028)",463,1466,1354,1,92.4,0.1,
"De 50 y más años (029)",925,3642,3217,,88.3,,
"Casado(a) (030)",24619,95314,86780,869,91,0.9,
"De 12 a 14 años (031)",6,1,,,,,
"De 15 a 19 años (032)",101,81,77,9,95.1,11.1,
"De 20 a 24 años (033)",473,619,604,66,97.6,10.7,
"De 25 a 29 años (034)",1554,2944,2851,202,96.8,6.9,
"De 30 a 34 años (035)",3023,7593,7257,268,95.6,3.5,
