"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LAURICOCHA (000)",7866,34003,2024,7873,5842,26130
"Casa independiente (001)",7062,30361,2010,7839,5052,22522
"Vivienda en casa de vecindad (004)",9,17,9,17,,
"Choza o cabaña (005)",782,3570,,,782,3570
"Vivienda improvisada (006)",3,10,3,10,,
"Local no dest.para hab. humana (007)",8,40,1,3,7,37
"Otro tipo (008)",2,5,1,4,1,1
