"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PARURO (000)",8177,7867,25,1000,1118,1194,2208,1564,620,138,310,33295
"De 12 a 14 años (001)",33,8,,7,1,,,,,,25,9
"De 15 a 19 años (002)",213,171,2,141,23,3,2,,,,42,204
"De 20 a 24 años (003)",694,599,3,311,199,70,13,3,,,95,992
"De 25 a 29 años (004)",801,751,2,164,257,201,120,5,2,,50,1834
"De 30 a 34 años (005)",867,843,2,64,184,233,281,73,6,,24,2865
"De 35 a 39 años (006)",908,893,2,57,97,159,360,178,34,6,15,3817
"De 40 a 44 años (007)",938,929,1,48,57,124,333,273,82,11,9,4565
"De 45 a 49 años (008)",694,690,1,28,48,61,212,215,104,21,4,3763
"De 50 y más años (009)",3029,2983,12,180,252,343,887,817,392,100,46,15246
"Sin nivel (010)",3427,3366,11,229,311,429,1042,866,393,85,61,16539
"De 12 a 14 años (011)",2,,,,,,,,,,2,
"De 15 a 19 años (012)",14,10,,6,3,,1,,,,4,16
"De 20 a 24 años (013)",62,53,1,13,18,15,4,2,,,9,124
"De 25 a 29 años (014)",102,98,,18,19,33,26,1,1,,4,283
"De 30 a 34 años (015)",183,177,,8,26,50,71,21,1,,6,660
"De 35 a 39 años (016)",227,223,,18,12,17,88,65,18,5,4,1108
"De 40 a 44 años (017)",304,303,,18,18,28,106,97,31,5,1,1543
"De 45 a 49 años (018)",291,290,,13,19,23,81,88,56,10,1,1637
"De 50 y más años (019)",2242,2212,10,135,196,263,665,592,286,65,30,11168
"Educacion Inicial (020)",12,11,,2,2,5,2,,,,1,30
"De 25 a 29 años (024)",5,4,,1,2,1,,,,,1,8
"De 30 a 34 años (025)",5,5,,,,3,2,,,,,18
