"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia VICTOR FAJARDO (000)",318,6,145,89,62,16
"Sin nivel (001)",12,1,5,2,3,1
"Primaria (003)",126,3,38,28,44,13
"Secundaria (004)",122,2,71,35,13,1
"Superior no univ. incompleta (005)",10,,4,5,,1
"Superior no univ. completa (006)",28,,19,7,2,
"Superior univ. incompleta (007)",4,,1,3,,
"Superior univ. completa (008)",16,,7,9,,
"Hombres (010)",227,2,90,65,56,14
"Sin nivel (011)",5,1,3,,1,
"Primaria (013)",89,1,19,16,41,12
"Secundaria (014)",95,,53,29,12,1
"Superior no univ. incompleta (015)",7,,1,5,,1
"Superior no univ. completa (016)",17,,11,4,2,
"Superior univ. incompleta (017)",4,,1,3,,
"Superior univ. completa (018)",10,,2,8,,
"Mujeres (020)",91,4,55,24,6,2
"Sin nivel (021)",7,,2,2,2,1
"Primaria (023)",37,2,19,12,3,1
"Secundaria (024)",27,2,18,6,1,
"Superior no univ. incompleta (025)",3,,3,,,
"Superior no univ. completa (026)",11,,8,3,,
"Superior univ. completa (028)",6,,5,1,,
,,,,,,
"Area Urbana (030)",236,2,106,75,41,12
"Sin nivel (031)",7,1,3,1,2,
"Primaria (033)",67,,13,20,24,10
"Secundaria (034)",108,1,62,31,13,1
"Superior no univ. incompleta (035)",9,,4,4,,1
"Superior no univ. completa (036)",26,,17,7,2,
"Superior univ. incompleta (037)",3,,,3,,
"Superior univ. completa (038)",16,,7,9,,
"Hombres (040)",177,1,74,56,35,11
"Sin nivel (041)",4,1,3,,,
"Primaria (043)",52,,10,12,21,9
"Secundaria (044)",86,,48,25,12,1
"Superior no univ. incompleta (045)",6,,1,4,,1
"Superior no univ. completa (046)",16,,10,4,2,
"Superior univ. incompleta (047)",3,,,3,,
"Superior univ. completa (048)",10,,2,8,,
"Mujeres (050)",59,1,32,19,6,1
"Sin nivel (051)",3,,,1,2,
"Primaria (053)",15,,3,8,3,1
"Secundaria (054)",22,1,14,6,1,
"Superior no univ. incompleta (055)",3,,3,,,
"Superior no univ. completa (056)",10,,7,3,,
"Superior univ. completa (058)",6,,5,1,,
,,,,,,
"Area Rural (060)",82,4,39,14,21,4
"Sin nivel (061)",5,,2,1,1,1
"Primaria (063)",59,3,25,8,20,3
"Secundaria (064)",14,1,9,4,,
"Superior no univ. incompleta (065)",1,,,1,,
"Superior no univ. completa (066)",2,,2,,,
"Superior univ. incompleta (067)",1,,1,,,
"Hombres (070)",50,1,16,9,21,3
"Sin nivel (071)",1,,,,1,
"Primaria (073)",37,1,9,4,20,3
"Secundaria (074)",9,,5,4,,
"Superior no univ. incompleta (075)",1,,,1,,
"Superior no univ. completa (076)",1,,1,,,
"Superior univ. incompleta (077)",1,,1,,,
"Mujeres (080)",32,3,23,5,,1
"Sin nivel (081)",4,,2,1,,1
"Primaria (083)",22,2,16,4,,
"Secundaria (084)",5,1,4,,,
"Superior no univ. completa (086)",1,,1,,,
