"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TUMBES (000)",52713,122177,113478,,2541,92.9,2.1
"De 12 a 14 años (001)",4259,25,24,,4,96,16
"De 15 a 19 años (002)",6723,1113,1097,315,98.6,28.3,
"De 20 a 24 años (003)",6704,4966,4906,675,98.8,13.6,
"De 25 a 29 años (004)",6255,8873,8708,661,98.1,7.4,
"De 30 a 34 años (005)",5626,11537,11234,523,97.4,4.5,
"De 35 a 39 años (006)",5187,13504,13032,270,96.5,2,
"De 40 a 44 años (007)",4483,13942,13365,83,95.9,0.6,
"De 45 a 49 años (008)",3631,13211,12430,10,94.1,0.1,
"De 50 y más años (009)",9845,55006,48682,,88.5,,
"PEA (010)",15834,34301,32556,514,94.9,1.5,
"De 12 a 14 años (011)",118,7,7,1,100,14.3,
"De 15 a 19 años (012)",973,166,164,24,98.8,14.5,
"De 20 a 24 años (013)",2033,1114,1100,91,98.7,8.2,
"De 25 a 29 años (014)",2258,2457,2419,130,98.5,5.3,
"De 30 a 34 años (015)",2295,4080,3974,143,97.4,3.5,
"De 35 a 39 años (016)",2278,5267,5109,87,97,1.7,
"De 40 a 44 años (017)",2061,5923,5715,35,96.5,0.6,
"De 45 a 49 años (018)",1518,4869,4578,3,94,0.1,
"De 50 y más años (019)",2300,10418,9490,,91.1,,
"Ocupada (020)",14972,33184,31483,471,94.9,1.4,
"De 12 a 14 años (021)",109,7,7,1,100,14.3,
"De 15 a 19 años (022)",847,148,146,17,98.6,11.5,
"De 20 a 24 años (023)",1818,1010,998,81,98.8,8,
"De 25 a 29 años (024)",2074,2293,2257,115,98.4,5,
"De 30 a 34 años (025)",2190,3910,3807,135,97.4,3.5,
"De 35 a 39 años (026)",2199,5123,4967,85,97,1.7,
"De 40 a 44 años (027)",2009,5786,5580,34,96.4,0.6,
"De 45 a 49 años (028)",1480,4725,4441,3,94,0.1,
"De 50 y más años (029)",2246,10182,9280,,91.1,,
"Desocupada (030)",862,1117,1073,43,96.1,3.8,
"De 12 a 14 años (031)",9,,,,,,
"De 15 a 19 años (032)",126,18,18,7,100,38.9,
"De 20 a 24 años (033)",215,104,102,10,98.1,9.6,
"De 25 a 29 años (034)",184,164,162,15,98.8,9.1,
"De 30 a 34 años (035)",105,170,167,8,98.2,4.7,
