"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CARHUAZ (000)",12182,94,317,850,1385,2486,3814,3236
"De 12 a 14 años (001)",12,,,,,,,12
"De 15 a 19 años (002)",292,,,,,,158,134
"De 20 a 24 años (003)",1172,,,,,6,709,457
"De 25 a 29 años (004)",1372,,,,,83,860,429
"De 30 a 34 años (005)",1406,,,,,281,804,321
"De 35 a 39 años (006)",1376,,,,13,435,662,266
"De 40 a 44 años (007)",1193,,,,74,490,414,215
"De 45 a 49 años (008)",1036,,,4,165,521,172,174
"De 50 y más años (009)",4323,94,317,846,1133,670,35,1228
"Sin nivel (010)",5810,70,238,612,873,1248,1147,1622
"De 12 a 14 años (011)",5,,,,,,,5
"De 15 a 19 años (012)",43,,,,,,22,21
"De 20 a 24 años (013)",201,,,,,2,127,72
"De 25 a 29 años (014)",351,,,,,19,232,100
"De 30 a 34 años (015)",427,,,,,94,226,107
"De 35 a 39 años (016)",514,,,,3,165,232,114
"De 40 a 44 años (017)",546,,,,32,213,182,119
"De 45 a 49 años (018)",565,,,2,79,287,100,97
"De 50 y más años (019)",3158,70,238,610,759,468,26,987
"Educacion Inicial (020)",67,,,,,8,39,20
"De 20 a 24 años (023)",16,,,,,,6,10
"De 25 a 29 años (024)",22,,,,,3,15,4
"De 30 a 34 años (025)",19,,,,,4,11,4
"De 35 a 39 años (026)",10,,,,,1,7,2
"Primaria (030)",3882,20,55,169,357,826,1597,858
"De 12 a 14 años (031)",5,,,,,,,5
"De 15 a 19 años (032)",144,,,,,,83,61
"De 20 a 24 años (033)",542,,,,,3,348,191
"De 25 a 29 años (034)",562,,,,,34,372,156
"De 30 a 34 años (035)",548,,,,,108,332,108
"De 35 a 39 años (036)",540,,,,8,194,258,80
"De 40 a 44 años (037)",398,,,,28,179,144,47
"De 45 a 49 años (038)",308,,,1,57,153,52,45
"De 50 y más años (039)",835,20,55,168,264,155,8,165
"Secundaria (040)",1319,1,11,34,69,221,624,359
"De 12 a 14 años (041)",2,,,,,,,2
"De 15 a 19 años (042)",93,,,,,,50,43
"De 20 a 24 años (043)",283,,,,,1,172,110
"De 25 a 29 años (044)",253,,,,,22,154,77
"De 30 a 34 años (045)",191,,,,,43,115,33
"De 35 a 39 años (046)",151,,,,1,41,80,29
"De 40 a 44 años (047)",111,,,,5,44,43,19
"De 45 a 49 años (048)",87,,,1,18,46,9,13
"De 50 y más años (049)",148,1,11,33,45,24,1,33
"Sup. no Univ. incompleta (050)",196,1,,3,8,30,73,81
"De 15 a 19 años (052)",8,,,,,,2,6
"De 20 a 24 años (053)",51,,,,,,24,27
