"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia REQUENA (000)",20730,2637,2666,10807,396,3646,578
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",63,61,,,2,,
"Profes., científicos e intelectuales (002)",1527,1441,,75,4,7,
"Técnicos de nivel medio y trab. asimilados (003)",238,161,,62,11,4,
"Jefes y empleados de oficina (004)",343,337,,5,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1685,187,43,1182,56,217,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",8239,,11,7944,268,16,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",606,,214,355,25,12,
"Obreros construc.,conf., papel, fab., instr. (008)",625,53,216,333,17,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",6723,226,2010,563,5,3341,578
"Otra (010)",56,56,,,,,
"Ocupación no especificada (011)",625,115,172,288,8,42,
"Hombres (012)",14536,1616,2214,8522,323,1803,58
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",50,48,,,2,,
"Profes., científicos e intelectuales (014)",845,799,,40,3,3,
"Técnicos de nivel medio y trab. asimilados (015)",167,106,,49,9,3,
"Jefes y empleados de oficina (016)",238,235,,3,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",760,111,6,554,34,55,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",7216,,10,6957,235,14,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",502,,202,275,18,7,
"Obreros construc.,conf., papel, fab., instr. (020)",608,53,213,319,17,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",3763,145,1657,209,1,1693,58
"Otra (022)",55,55,,,,,
"Ocupación no especificada (023)",332,64,126,116,4,22,
"Mujeres (024)",6194,1021,452,2285,73,1843,520
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",13,13,,,,,
"Profes., científicos e intelectuales (026)",682,642,,35,1,4,
"Técnicos de nivel medio y trab. asimilados (027)",71,55,,13,2,1,
"Jefes y empleados de oficina (028)",105,102,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",925,76,37,628,22,162,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1023,,1,987,33,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",104,,12,80,7,5,
"Obreros construc.,conf., papel, fab., instr. (032)",17,,3,14,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",2960,81,353,354,4,1648,520
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",293,51,46,172,4,20,
,,,,,,,
"URBANA (036)",11674,2251,1729,5606,233,1448,407
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",46,44,,,2,,
"Profes., científicos e intelectuales (038)",1206,1130,,67,4,5,
"Técnicos de nivel medio y trab. asimilados (039)",210,142,,54,10,4,
"Jefes y empleados de oficina (040)",332,326,,5,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1421,183,13,995,48,182,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",3333,,7,3197,119,10,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",522,,175,315,22,10,
"Obreros construc.,conf., papel, fab., instr. (044)",582,52,198,310,16,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",3521,214,1182,520,4,1194,407
"Otra (046)",56,56,,,,,
"Ocupación no especificada (047)",445,104,154,143,8,36,
"Hombres (048)",7794,1357,1473,4032,175,721,36
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",35,33,,,2,,
"Profes., científicos e intelectuales (050)",635,595,,34,3,3,
"Técnicos de nivel medio y trab. asimilados (051)",149,95,,43,8,3,
"Jefes y empleados de oficina (052)",228,225,,3,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",605,108,5,422,27,43,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2859,,6,2744,99,10,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",427,,167,239,15,6,
"Obreros construc.,conf., papel, fab., instr. (056)",568,52,196,298,16,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",1967,135,983,184,1,628,36
"Otra (058)",55,55,,,,,
"Ocupación no especificada (059)",266,59,116,65,4,22,
"Mujeres (060)",3880,894,256,1574,58,727,371
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",11,11,,,,,
"Profes., científicos e intelectuales (062)",571,535,,33,1,2,
"Técnicos de nivel medio y trab. asimilados (063)",61,47,,11,2,1,
"Jefes y empleados de oficina (064)",104,101,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",816,75,8,573,21,139,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",474,,1,453,20,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",95,,8,76,7,4,
"Obreros construc.,conf., papel, fab., instr. (068)",14,,2,12,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",1554,79,199,336,3,566,371
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",179,45,38,78,4,14,
,,,,,,,
"RURAL (072)",9056,386,937,5201,163,2198,171
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",17,17,,,,,
"Profes., científicos e intelectuales (074)",321,311,,8,,2,
"Técnicos de nivel medio y trab. asimilados (075)",28,19,,8,1,,
"Jefes y empleados de oficina (076)",11,11,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",264,4,30,187,8,35,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",4906,,4,4747,149,6,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",84,,39,40,3,2,
"Obreros construc.,conf., papel, fab., instr. (080)",43,1,18,23,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",3202,12,828,43,1,2147,171
"Ocupación no especificada (083)",180,11,18,145,,6,
"Hombres (084)",6742,259,741,4490,148,1082,22
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",15,15,,,,,
"Profes., científicos e intelectuales (086)",210,204,,6,,,
"Técnicos de nivel medio y trab. asimilados (087)",18,11,,6,1,,
"Jefes y empleados de oficina (088)",10,10,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",155,3,1,132,7,12,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",4357,,4,4213,136,4,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",75,,35,36,3,1,
"Obreros construc.,conf., papel, fab., instr. (092)",40,1,17,21,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1796,10,674,25,,1065,22
"Ocupación no especificada (095)",66,5,10,51,,,
"Mujeres (096)",2314,127,196,711,15,1116,149
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
"Profes., científicos e intelectuales (098)",111,107,,2,,2,
