"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARISCAL NIETO (000)",3239,13,1519,1095,506,106
"Conviviente (001)",1006,,458,429,104,15
"Separado(a) (002)",183,,36,87,49,11
"Casado(a) (003)",710,,73,315,268,54
"Viudo(a) (004)",45,,3,6,22,14
"Divorciado(a) (005)",14,,1,3,9,1
"Soltero(a) (006)",1281,13,948,255,54,11
"Hombres (008)",1834,7,813,586,344,84
"Conviviente (009)",567,,236,244,73,14
"Separado(a) (010)",73,,6,29,28,10
"Casado(a) (011)",414,,32,155,185,42
"Viudo(a) (012)",23,,1,4,8,10
"Divorciado(a) (013)",9,,,2,6,1
"Soltero(a) (014)",748,7,538,152,44,7
"Mujeres (016)",1405,6,706,509,162,22
"Conviviente (017)",439,,222,185,31,1
"Separado(a) (018)",110,,30,58,21,1
"Casado(a) (019)",296,,41,160,83,12
"Viudo(a) (020)",22,,2,2,14,4
"Divorciado(a) (021)",5,,1,1,3,
"Soltero(a) (022)",533,6,410,103,10,4
,,,,,,
"AREA URBANA (024)",2976,12,1396,1012,464,92
"Conviviente (025)",929,,432,390,93,14
"Separado(a) (026)",169,,33,83,45,8
"Casado(a) (027)",658,,64,298,247,49
"Viudo(a) (028)",41,,3,6,20,12
"Divorciado(a) (029)",13,,1,3,9,
"Soltero(a) (030)",1166,12,863,232,50,9
"Hombres (032)",1646,6,725,530,313,72
"Conviviente (033)",514,,221,215,64,14
"Separado(a) (034)",64,,6,26,25,7
"Casado(a) (035)",376,,25,143,170,38
"Viudo(a) (036)",20,,1,4,7,8
"Divorciado(a) (037)",8,,,2,6,
"Soltero(a) (038)",664,6,472,140,41,5
"Mujeres (040)",1330,6,671,482,151,20
"Conviviente (041)",415,,211,175,29,
"Separado(a) (042)",105,,27,57,20,1
"Casado(a) (043)",282,,39,155,77,11
"Viudo(a) (044)",21,,2,2,13,4
"Divorciado(a) (045)",5,,1,1,3,
"Soltero(a) (046)",502,6,391,92,9,4
,,,,,,
"AREA RURAL (048)",263,1,123,83,42,14
"Conviviente (049)",77,,26,39,11,1
"Separado(a) (050)",14,,3,4,4,3
"Casado(a) (051)",52,,9,17,21,5
"Viudo(a) (052)",4,,,,2,2
"Divorciado(a) (053)",1,,,,,1
"Soltero(a) (054)",115,1,85,23,4,2
"Hombres (056)",188,1,88,56,31,12
"Conviviente (057)",53,,15,29,9,
"Separado(a) (058)",9,,,3,3,3
"Casado(a) (059)",38,,7,12,15,4
"Viudo(a) (060)",3,,,,1,2
"Divorciado(a) (061)",1,,,,,1
"Soltero(a) (062)",84,1,66,12,3,2
"Mujeres (064)",75,,35,27,11,2
"Conviviente (065)",24,,11,10,2,1
"Separado(a) (066)",5,,3,1,1,
"Casado(a) (067)",14,,2,5,6,1
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",31,,19,11,1,
