"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia UCAYALI (000)",13386,25,137,390,886,2109,6811,3028
"De 12 a 14 años (001)",62,,,,,,11,51
"De 15 a 19 años (002)",1111,,,,,,667,444
"De 20 a 24 años (003)",1939,,,,,5,1301,633
"De 25 a 29 años (004)",1970,,,,,58,1506,406
"De 30 a 34 años (005)",1741,,,,1,154,1321,265
"De 35 a 39 años (006)",1574,,,,10,284,1075,205
"De 40 a 44 años (007)",1308,,,,43,445,611,209
"De 45 a 49 años (008)",1024,,,9,83,509,272,151
"De 50 y más años (009)",2657,25,137,381,749,654,47,664
"Sin nivel (010)",705,5,21,68,110,107,167,227
"De 15 a 19 años (012)",12,,,,,,7,5
"De 20 a 24 años (013)",21,,,,,,14,7
"De 25 a 29 años (014)",33,,,,,,23,10
"De 30 a 34 años (015)",41,,,,,3,34,4
"De 35 a 39 años (016)",47,,,,,5,35,7
"De 40 a 44 años (017)",64,,,,2,16,28,18
"De 45 a 49 años (018)",62,,,1,5,29,17,10
"De 50 y más años (019)",425,5,21,67,103,54,9,166
"Educacion Inicial (020)",13,,,,,,10,3
"De 20 a 24 años (023)",3,,,,,,2,1
"De 25 a 29 años (024)",4,,,,,,2,2
"De 30 a 34 años (025)",4,,,,,,4,
"De 35 a 39 años (026)",2,,,,,,2,
"Primaria (030)",6943,17,105,271,617,1296,3325,1312
"De 12 a 14 años (031)",35,,,,,,7,28
"De 15 a 19 años (032)",481,,,,,,305,176
"De 20 a 24 años (033)",688,,,,,,513,175
"De 25 a 29 años (034)",763,,,,,14,623,126
"De 30 a 34 años (035)",800,,,,1,63,634,102
"De 35 a 39 años (036)",859,,,,6,133,613,107
"De 40 a 44 años (037)",779,,,,25,262,398,94
"De 45 a 49 años (038)",647,,,4,37,318,200,88
"De 50 y más años (039)",1891,17,105,267,548,506,32,416
"Secundaria (040)",4381,3,7,39,102,470,2665,1095
"De 12 a 14 años (041)",27,,,,,,4,23
"De 15 a 19 años (042)",603,,,,,,349,254
"De 20 a 24 años (043)",1027,,,,,2,679,346
"De 25 a 29 años (044)",847,,,,,29,645,173
"De 30 a 34 años (045)",657,,,,,68,500,89
"De 35 a 39 años (046)",482,,,,3,102,316,61
"De 40 a 44 años (047)",294,,,,10,101,126,57
"De 45 a 49 años (048)",209,,,1,28,105,41,34
"De 50 y más años (049)",235,3,7,38,61,63,5,58
"Sup. no Univ. incompleta (050)",311,,,2,8,38,168,95
"De 15 a 19 años (052)",13,,,,,,4,9
"De 20 a 24 años (053)",78,,,,,1,44,33
"De 25 a 29 años (054)",76,,,,,4,49,23
