"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANCHIS (000)",33550,27141,2250,2112,2047
"Agric., ganadería, caza y silvicultura (001)",14279,13662,554,44,19
"Pesca (002)",6,3,3,,
"Explotación de minas y canteras (003)",103,42,22,21,18
"Industrias manufactureras (004)",2155,1871,167,79,38
"Suministro de electricidad, gas y agua (005)",54,6,2,41,5
"Construcción (006)",1705,1062,305,281,57
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5440,5220,181,29,10
"Venta, mant.y rep. veh.autom y motoc. (008)",290,261,15,8,6
"Comercio al por mayor (009)",207,184,15,4,4
"Comercio al por menor (010)",4943,4775,151,17,
"Hoteles y restaurantes (011)",1330,1218,88,18,6
"Trans., almac. y comunicaciones (012)",1911,1711,80,69,51
"Intermediación financiera (013)",71,18,14,32,7
"Activid.inmobil., empres. y alquileres (014)",518,313,81,82,42
"Admin.pub. y defensa; p. segur soc.afil (015)",1089,,,,1089
"Enseñanza (016)",2928,627,635,1282,384
"Servicios sociales y de salud (017)",442,110,22,21,289
"Otras activ. serv.comun.soc y personales (018)",475,353,56,56,10
"Hogares privados con servicio doméstico (019)",348,348,,,
"Actividad economica no especificada (021)",696,577,40,57,22
"Hombres (022)",19808,15580,1469,1408,1351
"Agric., ganadería, caza y silvicultura (023)",8836,8403,379,38,16
"Pesca (024)",6,3,3,,
"Explotación de minas y canteras (025)",95,35,22,21,17
"Industrias manufactureras (026)",1515,1300,123,59,33
"Suministro de electricidad, gas y agua (027)",49,6,2,36,5
"Construcción (028)",1638,1039,297,246,56
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2084,1971,82,23,8
"Venta, mant.y rep. veh.autom y motoc. (030)",269,240,15,8,6
"Comercio al por mayor (031)",90,79,7,2,2
"Comercio al por menor (032)",1725,1652,60,13,
"Hoteles y restaurantes (033)",279,244,25,7,3
"Trans., almac. y comunicaciones (034)",1774,1603,63,60,48
"Intermediación financiera (035)",33,9,8,14,2
"Activid.inmobil., empres. y alquileres (036)",371,234,53,55,29
"Admin.pub. y defensa; p. segur soc.afil (037)",794,,,,794
"Enseñanza (038)",1615,273,344,767,231
"Servicios sociales y de salud (039)",169,59,9,7,94
"Otras activ. serv.comun.soc y personales (040)",255,167,39,42,7
