"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONDESUYOS (000)",8408,4966,761,638,2043
"Hombres (001)",6179,3226,570,508,1875
"Mujeres (002)",2229,1740,191,130,168
"De 06 a 14 años (003)",70,65,4,,1
"Hombres (004)",46,43,2,,1
"Mujeres (005)",24,22,2,,
"De 15 a 29 años (006)",2673,1407,280,220,766
"Hombres (007)",2042,931,224,189,698
"Mujeres (008)",631,476,56,31,68
"De 30 a 44 años (009)",3106,1589,280,256,981
"Hombres (010)",2340,1028,213,192,907
"Mujeres (011)",766,561,67,64,74
"De 45 a 64 años (012)",1962,1362,151,157,292
"Hombres (013)",1360,864,107,123,266
"Mujeres (014)",602,498,44,34,26
"De 65 y más años (015)",597,543,46,5,3
"Hombres (016)",391,360,24,4,3
"Mujeres (017)",206,183,22,1,
,,,,,
"URBANA (018)",3219,1932,312,407,568
"Hombres (019)",2102,1148,200,300,454
"Mujeres (020)",1117,784,112,107,114
"De 06 a 14 años (021)",40,37,3,,
"Hombres (022)",27,26,1,,
"Mujeres (023)",13,11,2,,
"De 15 a 29 años (024)",898,503,113,101,181
"Hombres (025)",614,307,77,86,144
"Mujeres (026)",284,196,36,15,37
"De 30 a 44 años (027)",1168,621,113,184,250
"Hombres (028)",737,343,73,127,194
"Mujeres (029)",431,278,40,57,56
"De 45 a 64 años (030)",901,579,67,119,136
"Hombres (031)",589,348,41,85,115
"Mujeres (032)",312,231,26,34,21
"De 65 y más años (033)",212,192,16,3,1
"Hombres (034)",135,124,8,2,1
"Mujeres (035)",77,68,8,1,
,,,,,
"RURAL (036)",5189,3034,449,231,1475
"Hombres (037)",4077,2078,370,208,1421
"Mujeres (038)",1112,956,79,23,54
"De 06 a 14 años (039)",30,28,1,,1
"Hombres (040)",19,17,1,,1
"Mujeres (041)",11,11,,,
"De 15 a 29 años (042)",1775,904,167,119,585
"Hombres (043)",1428,624,147,103,554
"Mujeres (044)",347,280,20,16,31
"De 30 a 44 años (045)",1938,968,167,72,731
"Hombres (046)",1603,685,140,65,713
"Mujeres (047)",335,283,27,7,18
"De 45 a 64 años (048)",1061,783,84,38,156
"Hombres (049)",771,516,66,38,151
"Mujeres (050)",290,267,18,,5
"De 65 y más años (051)",385,351,30,2,2
"Hombres (052)",256,236,16,2,2
"Mujeres (053)",129,115,14,,
