"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LEONCIO PRADO (000)",29114,114713,16160,66676,12954,48037
"Casa independiente (001)",21656,89295,13883,59025,7773,30270
"Departamento en edificio (002)",559,1675,559,1675,,
"Vivienda en quinta (003)",1138,3807,1138,3807,,
"Vivienda en casa de vecindad (004)",369,1317,369,1317,,
"Choza o cabaña (005)",5158,17728,,,5158,17728
"Vivienda improvisada (006)",171,742,171,742,,
"Local no dest.para hab. humana (007)",36,98,35,97,1,1
"Otro tipo (008)",27,51,5,13,22,38
