"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LAMBAYEQUE (000)",96217,269144,239808,,5101,89.1,1.9
"De 12 a 14 años (001)",9701,40,39,,8,97.5,20
"De 15 a 19 años (002)",13466,1807,1772,594,98.1,32.9,
"De 20 a 24 años (003)",11416,9013,8789,1304,97.5,14.5,
"De 25 a 29 años (004)",9786,16508,16032,1286,97.1,7.8,
"De 30 a 34 años (005)",9240,23271,22379,1085,96.2,4.7,
"De 35 a 39 años (006)",8311,27516,26138,567,95,2.1,
"De 40 a 44 años (007)",7283,28965,26805,221,92.5,0.8,
"De 45 a 49 años (008)",6443,29940,27012,36,90.2,0.1,
"De 50 y más años (009)",20571,132084,110842,,83.9,,
"Conviviente (010)",24103,80566,73509,2858,91.2,3.5,
"De 12 a 14 años (011)",94,26,26,5,100,19.2,
"De 15 a 19 años (012)",1879,1303,1273,444,97.7,34.1,
"De 20 a 24 años (013)",3997,5298,5169,817,97.6,15.4,
"De 25 a 29 años (014)",3994,8425,8186,694,97.2,8.2,
"De 30 a 34 años (015)",3562,10537,10130,516,96.1,4.9,
"De 35 a 39 años (016)",2904,11016,10428,264,94.7,2.4,
"De 40 a 44 años (017)",2301,10496,9675,100,92.2,1,
"De 45 a 49 años (018)",1725,9142,8218,18,89.9,0.2,
"De 50 y más años (019)",3647,24323,20404,,83.9,,
"Separado(a) (020)",5043,14796,13429,231,90.8,1.6,
"De 12 a 14 años (021)",10,7,7,2,100,28.6,
"De 15 a 19 años (022)",169,160,158,47,98.8,29.4,
"De 20 a 24 años (023)",503,611,602,73,98.5,11.9,
"De 25 a 29 años (024)",589,896,872,42,97.3,4.7,
"De 30 a 34 años (025)",654,1317,1277,38,97,2.9,
"De 35 a 39 años (026)",668,1704,1631,20,95.7,1.2,
"De 40 a 44 años (027)",580,1678,1555,9,92.7,0.5,
"De 45 a 49 años (028)",521,1869,1691,,90.5,,
"De 50 y más años (029)",1349,6554,5636,,86,,
"Casado(a) (030)",28880,139041,124209,1912,89.3,1.4,
"De 12 a 14 años (031)",5,2,2,,100,,
"De 15 a 19 años (032)",349,252,250,77,99.2,30.6,
"De 20 a 24 años (033)",1750,2785,2705,382,97.1,13.7,
"De 25 a 29 años (034)",2782,6759,6555,533,97,7.9,
"De 30 a 34 años (035)",3480,10770,10345,518,96.1,4.8,
