"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Sin nivel (161)",336,317,14,1,4
"Primaria (163)",437,411,26,,
"Secundaria (164)",157,138,9,5,5
"Superior no univ. incompleta (165)",23,21,,2,
"Superior no univ. completa (166)",39,28,6,5,
"Superior univ. incompleta (167)",14,11,1,2,
"Superior univ. completa (168)",33,20,9,,4
"De 65 y más años (170)",477,459,15,3,
"Sin nivel (171)",231,221,9,1,
"Primaria (173)",209,206,3,,
"Secundaria (174)",20,19,1,,
"Superior no univ. incompleta (175)",6,6,,,
"Superior no univ. completa (176)",7,4,1,2,
"Superior univ. incompleta (177)",1,1,,,
"Superior univ. completa (178)",3,2,1,,
