"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia PAITA (000)",37045,70,1543,1515,1527,4172,5600,4725,4021,10170,229,759,2714
"Agric., ganadería, caza y silvicultura (001)",5288,,3,12,8,,2875,1,10,2379,,,
"Pesca (002)",5074,2,40,143,87,,2725,54,63,1960,,,
"Explotación de minas y canteras (003)",80,,1,10,11,,,39,5,14,,,
"Industrias manufactureras (004)",6059,2,46,237,170,24,,3979,455,1146,,,
"Suministro de electricidad, gas y agua (005)",107,,2,14,25,,,12,30,24,,,
"Construcción (006)",1553,,16,47,7,,,127,746,610,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",4672,1,46,221,63,3017,,457,48,819,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",469,,4,25,11,68,,328,20,13,,,
"Comercio al por mayor (009)",441,1,21,75,37,217,,8,13,69,,,
"Comercio al por menor (010)",3762,,21,121,15,2732,,121,15,737,,,
"Hoteles y restaurantes (011)",1150,1,23,50,36,642,,2,2,394,,,
"Trans., almac. y comunicaciones (012)",3877,3,26,144,211,8,,19,2545,921,,,
"Intermediación financiera (013)",67,1,6,14,41,,,,,5,,,
"Activid.inmobil., empres. y alquileres (014)",1565,3,123,248,241,330,,27,48,545,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1184,36,51,81,482,43,,5,60,197,229,,
"Enseñanza (016)",1089,20,1006,10,35,,,1,,17,,,
"Servicios sociales y de salud (017)",286,,87,127,28,15,,,4,25,,,
"Otras activ. serv.comun.soc y personales (018)",868,1,66,143,40,93,,2,5,518,,,
"Hogares privados con servicio doméstico (019)",597,,,5,,,,,,592,,,
"Actividad economica no especificada (021)",815,,1,9,42,,,,,4,,759,
"Desocupado (022)",2714,,,,,,,,,,,,2714
"Hombres (023)",27884,52,662,1029,789,1830,5522,3606,3936,7719,224,317,2198
"Agric., ganadería, caza y silvicultura (024)",5108,,3,11,6,,2836,1,9,2242,,,
"Pesca (025)",4886,2,31,113,63,,2686,51,63,1877,,,
"Explotación de minas y canteras (026)",79,,,10,11,,,39,5,14,,,
"Industrias manufactureras (027)",4197,2,31,173,133,18,,2869,424,547,,,
"Suministro de electricidad, gas y agua (028)",94,,2,12,15,,,12,30,23,,,
"Construcción (029)",1517,,15,44,5,,,127,737,589,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",2388,1,31,126,34,1244,,453,47,452,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",433,,3,22,4,44,,328,20,12,,,
"Comercio al por mayor (032)",278,1,14,32,25,129,,8,13,56,,,
"Comercio al por menor (033)",1677,,14,72,5,1071,,117,14,384,,,
"Hoteles y restaurantes (034)",288,,11,25,15,155,,2,2,78,,,
"Trans., almac. y comunicaciones (035)",3673,3,16,101,140,6,,18,2517,872,,,
"Intermediación financiera (036)",29,1,2,4,21,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",1246,2,82,183,105,326,,26,44,478,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",783,28,35,56,196,41,,5,50,148,224,,
"Enseñanza (039)",358,12,312,6,12,,,1,,15,,,
"Servicios sociales y de salud (040)",98,,32,40,10,2,,,4,10,,,
"Otras activ. serv.comun.soc y personales (041)",577,1,58,118,17,38,,2,4,339,,,
"Hogares privados con servicio doméstico (042)",32,,,1,,,,,,31,,,
"Actividad economica no especificada (044)",333,,1,6,6,,,,,3,,317,
"Desocupado (045)",2198,,,,,,,,,,,,2198
"Mujeres (046)",9161,18,881,486,738,2342,78,1119,85,2451,5,442,516
"Agric., ganadería, caza y silvicultura (047)",180,,,1,2,,39,,1,137,,,
"Pesca (048)",188,,9,30,24,,39,3,,83,,,
"Explotación de minas y canteras (049)",1,,1,,,,,,,,,,
"Industrias manufactureras (050)",1862,,15,64,37,6,,1110,31,599,,,
"Suministro de electricidad, gas y agua (051)",13,,,2,10,,,,,1,,,
"Construcción (052)",36,,1,3,2,,,,9,21,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",2284,,15,95,29,1773,,4,1,367,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",36,,1,3,7,24,,,,1,,,
"Comercio al por mayor (055)",163,,7,43,12,88,,,,13,,,
"Comercio al por menor (056)",2085,,7,49,10,1661,,4,1,353,,,
"Hoteles y restaurantes (057)",862,1,12,25,21,487,,,,316,,,
"Trans., almac. y comunicaciones (058)",204,,10,43,71,2,,1,28,49,,,
"Intermediación financiera (059)",38,,4,10,20,,,,,4,,,
"Activid.inmobil., empres. y alquileres (060)",319,1,41,65,136,4,,1,4,67,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",401,8,16,25,286,2,,,10,49,5,,
"Enseñanza (062)",731,8,694,4,23,,,,,2,,,
"Servicios sociales y de salud (063)",188,,55,87,18,13,,,,15,,,
"Otras activ. serv.comun.soc y personales (064)",291,,8,25,23,55,,,1,179,,,
"Hogares privados con servicio doméstico (065)",565,,,4,,,,,,561,,,
"Actividad economica no especificada (067)",482,,,3,36,,,,,1,,442,
"Desocupado (068)",516,,,,,,,,,,,,516
,,,,,,,,,,,,,
"URBANA (069)",35415,67,1518,1499,1487,4070,5160,4579,3926,9572,226,751,2560
"Agric., ganadería, caza y silvicultura (070)",4443,,3,10,6,,2448,1,10,1965,,,
"Pesca (071)",5025,2,40,142,82,,2712,54,63,1930,,,
"Explotación de minas y canteras (072)",35,,,5,3,,,18,3,6,,,
"Industrias manufactureras (073)",5916,2,46,235,164,24,,3872,446,1127,,,
"Suministro de electricidad, gas y agua (074)",92,,2,13,25,,,9,20,23,,,
"Construcción (075)",1501,,16,46,6,,,122,723,588,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",4557,1,46,221,60,2950,,448,48,783,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",462,,4,25,11,68,,322,20,12,,,
"Comercio al por mayor (078)",415,1,21,75,37,211,,8,13,49,,,
"Comercio al por menor (079)",3680,,21,121,12,2671,,118,15,722,,,
"Hoteles y restaurantes (080)",1139,1,23,50,36,633,,2,2,392,,,
"Trans., almac. y comunicaciones (081)",3806,3,26,143,205,8,,18,2496,907,,,
"Intermediación financiera (082)",67,1,6,14,41,,,,,5,,,
"Activid.inmobil., empres. y alquileres (083)",1513,3,122,248,236,304,,27,48,525,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",1166,33,50,79,480,43,,5,58,192,226,,
"Enseñanza (085)",1065,20,984,10,33,,,1,,17,,,
"Servicios sociales y de salud (086)",286,,87,127,28,15,,,4,25,,,
"Otras activ. serv.comun.soc y personales (087)",857,1,66,142,40,93,,2,5,508,,,
"Hogares privados con servicio doméstico (088)",580,,,5,,,,,,575,,,
"Actividad economica no especificada (090)",807,,1,9,42,,,,,4,,751,
"Desocupado (091)",2560,,,,,,,,,,,,2560
"Hombres (092)",26440,51,655,1016,757,1772,5086,3489,3841,7190,221,310,2052
"Agric., ganadería, caza y silvicultura (093)",4292,,3,9,4,,2412,1,9,1854,,,
"Pesca (094)",4843,2,31,113,59,,2674,51,63,1850,,,
"Explotación de minas y canteras (095)",35,,,5,3,,,18,3,6,,,
"Industrias manufactureras (096)",4092,2,31,172,127,18,,2790,415,537,,,
"Suministro de electricidad, gas y agua (097)",79,,2,11,15,,,9,20,22,,,
"Construcción (098)",1466,,15,43,4,,,122,714,568,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",2320,1,31,126,32,1214,,445,47,424,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",427,,3,22,4,44,,322,20,12,,,
"Comercio al por mayor (101)",256,1,14,32,25,127,,8,13,36,,,
"Comercio al por menor (102)",1637,,14,72,3,1043,,115,14,376,,,
"Hoteles y restaurantes (103)",283,,11,25,15,152,,2,2,76,,,
"Trans., almac. y comunicaciones (104)",3604,3,16,101,135,6,,17,2468,858,,,
"Intermediación financiera (105)",29,1,2,4,21,,,,,1,,,
"Activid.inmobil., empres. y alquileres (106)",1201,2,81,183,103,301,,26,44,461,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",769,27,34,54,195,41,,5,48,144,221,,
"Enseñanza (108)",352,12,307,6,11,,,1,,15,,,
"Servicios sociales y de salud (109)",98,,32,40,10,2,,,4,10,,,
"Otras activ. serv.comun.soc y personales (110)",567,1,58,117,17,38,,2,4,330,,,
"Hogares privados con servicio doméstico (111)",32,,,1,,,,,,31,,,
"Actividad economica no especificada (113)",326,,1,6,6,,,,,3,,310,
"Desocupado (114)",2052,,,,,,,,,,,,2052
"Mujeres (115)",8975,16,863,483,730,2298,74,1090,85,2382,5,441,508
"Agric., ganadería, caza y silvicultura (116)",151,,,1,2,,36,,1,111,,,
"Pesca (117)",182,,9,29,23,,38,3,,80,,,
"Industrias manufactureras (119)",1824,,15,63,37,6,,1082,31,590,,,
"Suministro de electricidad, gas y agua (120)",13,,,2,10,,,,,1,,,
"Construcción (121)",35,,1,3,2,,,,9,20,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",2237,,15,95,28,1736,,3,1,359,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",35,,1,3,7,24,,,,,,,
"Comercio al por mayor (124)",159,,7,43,12,84,,,,13,,,
"Comercio al por menor (125)",2043,,7,49,9,1628,,3,1,346,,,
"Hoteles y restaurantes (126)",856,1,12,25,21,481,,,,316,,,
"Trans., almac. y comunicaciones (127)",202,,10,42,70,2,,1,28,49,,,
"Intermediación financiera (128)",38,,4,10,20,,,,,4,,,
"Activid.inmobil., empres. y alquileres (129)",312,1,41,65,133,3,,1,4,64,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",397,6,16,25,285,2,,,10,48,5,,
"Enseñanza (131)",713,8,677,4,22,,,,,2,,,
"Servicios sociales y de salud (132)",188,,55,87,18,13,,,,15,,,
"Otras activ. serv.comun.soc y personales (133)",290,,8,25,23,55,,,1,178,,,
"Hogares privados con servicio doméstico (134)",548,,,4,,,,,,544,,,
"Actividad economica no especificada (136)",481,,,3,36,,,,,1,,441,
"Desocupado (137)",508,,,,,,,,,,,,508
,,,,,,,,,,,,,
"RURAL (138)",1630,3,25,16,40,102,440,146,95,598,3,8,154
