"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN MARCOS (000)",49938,10551,39387
"Casa independiente (001)",47108,10121,36987
"Departamento en edificio (002)",67,67,
"Vivienda en quinta (003)",304,304,
"Vivienda en casa de vecindad (004)",55,55,
"Choza o cabaña (005)",2379,,2379
"Vivienda improvisada (006)",2,2,
"Local no dest.para hab. humana (007)",23,2,21
