"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia AYABACA (000)",29322,137605,3590,15093,25732,122512
"Casa independiente (001)",28727,135027,3530,14916,25197,120111
"Departamento en edificio (002)",2,4,2,4,,
"Vivienda en quinta (003)",25,76,25,76,,
"Vivienda en casa de vecindad (004)",28,79,28,79,,
"Choza o cabaña (005)",518,2342,,,518,2342
"Vivienda improvisada (006)",2,10,2,10,,
"Local no dest.para hab. humana (007)",17,59,,,17,59
"Otro tipo (008)",3,8,3,8,,
