"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia JAEN (000)",89540,73187,16353
"De 3 a 5 años (001)",12122,726,11396
"De 6 a 11 años (002)",26757,23090,3667
"De 12 a 16 años (003)",23541,23137,404
"De 17 a 24 años (004)",27120,26234,886
"Hombres (005)",45867,37555,8312
"De 3 a 5 años (006)",6228,377,5851
"De 6 a 11 años (007)",13739,11840,1899
"De 12 a 16 años (008)",12057,11843,214
"De 17 a 24 años (009)",13843,13495,348
"Mujeres (010)",43673,35632,8041
"De 3 a 5 años (011)",5894,349,5545
"De 6 a 11 años (012)",13018,11250,1768
"De 12 a 16 años (013)",11484,11294,190
"De 17 a 24 años (014)",13277,12739,538
,,,
"URBANA (015)",43069,36927,6142
"De 3 a 5 años (016)",5249,459,4790
"De 6 a 11 años (017)",11500,10506,994
"De 12 a 16 años (018)",11588,11470,118
"De 17 a 24 años (019)",14732,14492,240
"Hombres (020)",21394,18239,3155
"De 3 a 5 años (021)",2700,240,2460
"De 6 a 11 años (022)",5829,5307,522
"De 12 a 16 años (023)",5752,5687,65
"De 17 a 24 años (024)",7113,7005,108
"Mujeres (025)",21675,18688,2987
"De 3 a 5 años (026)",2549,219,2330
"De 6 a 11 años (027)",5671,5199,472
"De 12 a 16 años (028)",5836,5783,53
"De 17 a 24 años (029)",7619,7487,132
,,,
"RURAL (030)",46471,36260,10211
"De 3 a 5 años (031)",6873,267,6606
"De 6 a 11 años (032)",15257,12584,2673
"De 12 a 16 años (033)",11953,11667,286
"De 17 a 24 años (034)",12388,11742,646
"Hombres (035)",24473,19316,5157
"De 3 a 5 años (036)",3528,137,3391
"De 6 a 11 años (037)",7910,6533,1377
"De 12 a 16 años (038)",6305,6156,149
"De 17 a 24 años (039)",6730,6490,240
"Mujeres (040)",21998,16944,5054
"De 3 a 5 años (041)",3345,130,3215
"De 6 a 11 años (042)",7347,6051,1296
"De 12 a 16 años (043)",5648,5511,137
"De 17 a 24 años (044)",5658,5252,406
