"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHURCAMPA (000)",11054,43771,2476,9051,8578,34720
"Casa independiente (001)",10634,42340,2286,8527,8348,33813
"Departamento en edificio (002)",5,17,5,17,,
"Vivienda en quinta (003)",15,55,15,55,,
"Vivienda en casa de vecindad (004)",166,443,166,443,,
"Choza o cabaña (005)",224,894,,,224,894
"Local no dest.para hab. humana (007)",8,17,4,9,4,8
"Otro tipo (008)",2,5,,,2,5
