"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5092,3856,437,382,417
"Agric., ganadería, caza y silvicultura (001)",2744,2650,73,20,1
"Explotación de minas y canteras (003)",9,4,1,4,
"Industrias manufactureras (004)",197,115,17,55,10
"Suministro de electricidad, gas y agua (005)",3,1,1,1,
"Construcción (006)",310,177,106,25,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",220,208,8,3,1
"Venta, mant.y rep. veh.autom y motoc. (008)",9,9,,,
"Comercio al por mayor (009)",9,7,1,,1
"Comercio al por menor (010)",202,192,7,3,
"Hoteles y restaurantes (011)",88,79,8,,1
"Trans., almac. y comunicaciones (012)",32,24,5,2,1
"Intermediación financiera (013)",6,3,,1,2
"Activid.inmobil., empres. y alquileres (014)",31,17,4,8,2
"Admin.pub. y defensa; p. segur soc.afil (015)",330,,,,330
"Enseñanza (016)",573,145,170,246,12
"Servicios sociales y de salud (017)",63,7,4,4,48
"Otras activ. serv.comun.soc y personales (018)",116,87,18,9,2
"Hogares privados con servicio doméstico (019)",92,92,,,
"Actividad economica no especificada (021)",278,247,22,4,5
"Hombres (022)",3727,2836,333,294,264
"Agric., ganadería, caza y silvicultura (023)",2358,2271,68,18,1
"Explotación de minas y canteras (025)",9,4,1,4,
"Industrias manufactureras (026)",168,96,12,51,9
"Suministro de electricidad, gas y agua (027)",3,1,1,1,
"Construcción (028)",309,177,106,24,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",105,95,6,3,1
"Venta, mant.y rep. veh.autom y motoc. (030)",9,9,,,
"Comercio al por mayor (031)",6,4,1,,1
"Comercio al por menor (032)",90,82,5,3,
"Hoteles y restaurantes (033)",13,12,1,,
"Trans., almac. y comunicaciones (034)",30,23,4,2,1
"Intermediación financiera (035)",6,3,,1,2
"Activid.inmobil., empres. y alquileres (036)",23,13,2,8,
"Admin.pub. y defensa; p. segur soc.afil (037)",222,,,,222
"Enseñanza (038)",359,71,109,170,9
"Servicios sociales y de salud (039)",17,3,,1,13
"Otras activ. serv.comun.soc y personales (040)",38,19,9,8,2
"Actividad economica no especificada (043)",67,48,14,3,2
"Mujeres (044)",1365,1020,104,88,153
"Agric., ganadería, caza y silvicultura (045)",386,379,5,2,
