"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 40 a 44 años (087)",178,177,,16,32,36,62,22,9,,1,677
"De 45 a 49 años (088)",153,152,1,7,16,29,36,40,19,4,1,745
"De 50 y más años (089)",317,315,2,12,32,28,71,71,69,30,2,1834
"Desocupada (090)",16,12,,4,4,1,1,,1,1,4,39
"De 15 a 19 años (092)",3,2,,2,,,,,,,1,2
"De 20 a 24 años (093)",4,2,,,2,,,,,,2,4
"De 25 a 29 años (094)",2,2,,2,,,,,,,,2
"De 30 a 34 años (095)",3,2,,,1,1,,,,,1,5
"De 40 a 44 años (097)",1,1,,,,,,,,1,,11
"De 45 a 49 años (098)",1,1,,,1,,,,,,,2
"De 50 y más años (099)",2,2,,,,,1,,1,,,13
"No PEA (100)",1884,1808,3,367,385,288,374,217,125,49,76,6616
"De 12 a 14 años (101)",8,3,,3,,,,,,,5,3
"De 15 a 19 años (102)",147,121,1,103,14,3,,,,,26,140
"De 20 a 24 años (103)",235,215,,125,69,15,4,2,,,20,338
"De 25 a 29 años (104)",269,265,,74,112,58,18,3,,,4,567
"De 30 a 34 años (105)",216,215,,19,84,59,47,4,2,,1,604
"De 35 a 39 años (106)",199,198,,12,39,56,68,21,2,,1,706
"De 40 a 44 años (107)",175,174,1,9,28,38,67,23,7,1,1,688
"De 45 a 49 años (108)",123,121,,1,14,11,45,30,16,4,2,635
"De 50 y más años (109)",512,496,1,21,25,48,125,134,98,44,16,2935
,,,,,,,,,,,,
"RURAL (120)",4676,4503,14,844,873,658,983,635,353,143,173,17518
"De 12 a 14 años (121)",20,7,1,6,,,,,,,13,6
"De 15 a 19 años (122)",395,344,3,277,60,2,2,,,,51,411
"De 20 a 24 años (123)",775,734,3,320,284,109,17,1,,,41,1295
"De 25 a 29 años (124)",685,664,,120,241,183,114,6,,,21,1670
"De 30 a 34 años (125)",566,557,,44,131,134,201,44,3,,9,1877
"De 35 a 39 años (126)",521,512,3,34,71,82,193,101,23,5,9,2166
"De 40 a 44 años (127)",398,394,1,9,30,44,139,106,54,11,4,2077
"De 45 a 49 años (128)",355,354,,10,17,37,125,94,49,22,1,1979
"De 50 y más años (129)",961,937,3,24,39,67,192,283,224,105,24,6037
"PEA (130)",1548,1484,2,291,289,202,357,193,110,40,64,5650
"De 12 a 14 años (131)",5,1,,1,,,,,,,4,1
"De 15 a 19 años (132)",127,109,,86,22,,1,,,,18,134
"De 20 a 24 años (133)",239,222,,111,81,28,2,,,,17,366
"De 25 a 29 años (134)",194,187,,38,72,40,36,1,,,7,462
"De 30 a 34 años (135)",204,198,,18,45,48,75,12,,,6,649
"De 35 a 39 años (136)",200,197,1,19,35,34,73,31,4,,3,744
"De 40 a 44 años (137)",152,150,,3,14,13,61,37,18,4,2,777
"De 45 a 49 años (138)",127,126,,2,9,14,46,36,16,3,1,676
"De 50 y más años (139)",300,294,1,13,11,25,63,76,72,33,6,1841
"Ocupada (140)",1541,1478,2,289,286,202,356,193,110,40,63,5638
"De 12 a 14 años (141)",5,1,,1,,,,,,,4,1
"De 15 a 19 años (142)",127,109,,86,22,,1,,,,18,134
"De 20 a 24 años (143)",238,222,,111,81,28,2,,,,16,366
"De 25 a 29 años (144)",192,185,,38,70,40,36,1,,,7,458
"De 30 a 34 años (145)",203,197,,17,45,48,75,12,,,6,648
