"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ACOMAYO (000)",23248,6933,5305,4936,3812,2262
"Sin nivel (001)",3892,128,211,718,1382,1453
"Educación inicial (002)",440,397,20,23,,
"Primaria (003)",11873,5411,1484,2550,1739,689
"Secundaria (004)",5643,997,2969,1145,449,83
"Superior no univ. incompleta (005)",401,,268,87,41,5
"Superior no univ. completa (006)",544,,213,247,71,13
"Superior univ. incompleta (007)",159,,89,31,34,5
"Superior univ. completa (008)",296,,51,135,96,14
"PEA (010)",7899,206,1978,2905,2069,741
"Sin nivel (011)",1164,7,64,250,489,354
"Educación inicial (012)",13,2,5,6,,
"Primaria (013)",3521,148,595,1390,1053,335
"Secundaria (014)",2255,49,1010,827,328,41
"Superior no univ. incompleta (015)",172,,81,62,28,1
"Superior no univ. completa (016)",445,,161,222,58,4
"Superior univ. incompleta (017)",81,,22,27,30,2
"Superior univ. completa (018)",248,,40,121,83,4
"Ocupada (020)",7633,198,1863,2824,2014,734
"Sin nivel (021)",1139,7,61,247,474,350
"Educación inicial (022)",13,2,5,6,,
"Primaria (023)",3407,141,559,1348,1027,332
"Secundaria (024)",2172,48,958,807,318,41
"Superior no univ. incompleta (025)",162,,73,60,28,1
"Superior no univ. completa (026)",421,,149,213,55,4
"Superior univ. incompleta (027)",77,,20,25,30,2
"Superior univ. completa (028)",242,,38,118,82,4
"Desocupada (030)",266,8,115,81,55,7
"Sin nivel (031)",25,,3,3,15,4
