"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAROCHIRI (000)",27534,16590,10944
"Casa independiente (001)",24816,14924,9892
"Departamento en edificio (002)",340,340,
"Vivienda en quinta (003)",542,542,
"Vivienda en casa de vecindad (004)",493,493,
"Choza o cabaña (005)",1030,,1030
"Vivienda improvisada (006)",261,261,
"Local no dest.para hab. humana (007)",39,26,13
"Otro tipo (008)",13,4,9
