"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BOLIVAR (000)",4382,141,1366,1456,1096,323
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,,5,9,10,
"Profes., científicos e intelectuales (002)",386,,81,220,84,1
"Técnicos de nivel medio y trab.asimilados (003)",56,,19,21,14,2
"Jefes y empleados de oficina (004)",97,,34,38,25,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",208,6,55,69,63,15
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1820,20,425,611,553,211
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",129,1,34,51,32,11
"Obreros construc., conf., papel, fab., instr. (008)",132,1,37,53,35,6
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1170,104,545,279,197,45
"Otra (010)",10,,1,5,4,
"Ocupación no especificada (011)",224,2,68,70,57,27
"Desocupado (012)",126,7,62,30,22,5
"Hombres (013)",3560,115,1106,1142,915,282
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",19,,3,6,10,
"Profes., científicos e intelectuales (015)",209,,39,108,61,1
"Técnicos de nivel medio y trab.asimilados (016)",32,,10,14,7,1
"Jefes y empleados de oficina (017)",66,,18,27,21,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",73,2,22,19,20,10
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1772,19,415,595,540,203
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",97,1,31,39,19,7
"Obreros construc., conf., papel, fab., instr. (021)",132,1,37,53,35,6
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",924,85,453,211,141,34
"Otra (023)",10,,1,5,4,
"Ocupación no especificada (024)",122,2,29,41,35,15
"Desocupado (025)",104,5,48,24,22,5
"Mujeres (026)",822,26,260,314,181,41
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,,2,3,,
"Profes., científicos e intelectuales (028)",177,,42,112,23,
"Técnicos de nivel medio y trab.asimilados (029)",24,,9,7,7,1
"Jefes y empleados de oficina (030)",31,,16,11,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",135,4,33,50,43,5
"Agricult.trabaj. calif. agrop. y pesqueros (032)",48,1,10,16,13,8
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",32,,3,12,13,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (035)",246,19,92,68,56,11
