"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTIAGO DE CHUCO (000)",15421,10449,730,804,3438
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",46,2,5,5,34
"Profes., científicos e intelectuales (002)",973,265,144,248,316
"Técnicos de nivel medio y trab. asimilados (003)",478,91,31,57,299
"Jefes y empleados de oficina (004)",454,45,15,22,372
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",937,833,37,18,49
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5269,5194,75,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1914,522,116,123,1153
"Obreros construc.,conf.,papel, fab., instr. (008)",1169,377,88,139,565
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3629,2685,201,176,567
"Otra (010)",22,,,,22
"Ocupación no especificada (011)",530,435,18,16,61
"Hombres (012)",12687,8381,613,650,3043
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",34,,4,5,25
"Profes., científicos e intelectuales (014)",563,124,85,146,208
"Técnicos de nivel medio y trab. asimilados (015)",392,60,24,52,256
"Jefes y empleados de oficina (016)",298,29,11,16,242
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",407,329,24,12,42
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5081,5009,72,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1748,409,110,122,1107
"Obreros construc.,conf.,papel, fab., instr. (020)",1149,369,87,134,559
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2778,1914,186,153,525
"Otra (022)",22,,,,22
"Ocupación no especificada (023)",215,138,10,10,57
"Mujeres (024)",2734,2068,117,154,395
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",12,2,1,,9
"Profes., científicos e intelectuales (026)",410,141,59,102,108
"Técnicos de nivel medio y trab. asimilados (027)",86,31,7,5,43
"Jefes y empleados de oficina (028)",156,16,4,6,130
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",530,504,13,6,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",188,185,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",166,113,6,1,46
"Obreros construc.,conf.,papel, fab., instr. (032)",20,8,1,5,6
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",851,771,15,23,42
