"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CARAVELI (000)",28097,3433,5629,6625,5136,3229,4045
"Conviviente (001)",10038,62,1819,3763,2529,1139,726
"Separado(a) (002)",962,5,78,205,237,178,259
"Casado(a) (003)",6032,3,158,901,1554,1415,2001
"Viudo(a) (004)",830,,3,29,56,91,651
"Divorciado(a) (005)",147,,3,23,33,25,63
"Soltero(a) (006)",10088,3363,3568,1704,727,381,345
"Hombres (008)",16266,1762,3310,3916,3062,1920,2296
"Conviviente (009)",5448,22,720,2071,1487,707,441
"Separado(a) (010)",456,1,29,79,116,80,151
"Casado(a) (011)",3472,2,69,501,881,815,1204
"Viudo(a) (012)",299,,1,7,23,30,238
"Divorciado(a) (013)",97,,3,16,19,21,38
"Soltero(a) (014)",6494,1737,2488,1242,536,267,224
"Mujeres (016)",11831,1671,2319,2709,2074,1309,1749
"Conviviente (017)",4590,40,1099,1692,1042,432,285
"Separado(a) (018)",506,4,49,126,121,98,108
"Casado(a) (019)",2560,1,89,400,673,600,797
"Viudo(a) (020)",531,,2,22,33,61,413
"Divorciado(a) (021)",50,,,7,14,4,25
"Soltero(a) (022)",3594,1626,1080,462,191,114,121
,,,,,,,
"URBANA (024)",17761,2571,3004,3890,3447,2131,2718
"Conviviente (025)",6019,39,998,2161,1645,705,471
"Separado(a) (026)",633,4,45,131,156,113,184
"Casado(a) (027)",4067,2,98,572,1099,965,1331
"Viudo(a) (028)",552,,2,14,39,56,441
"Divorciado(a) (029)",84,,1,9,17,16,41
"Soltero(a) (030)",6406,2526,1860,1003,491,276,250
"Hombres (032)",9425,1294,1543,2005,1887,1211,1485
"Conviviente (033)",3018,15,365,1040,901,422,275
"Separado(a) (034)",266,1,12,42,61,48,102
"Casado(a) (035)",2188,1,38,265,567,533,784
"Viudo(a) (036)",178,,,2,14,14,148
"Divorciado(a) (037)",46,,1,2,7,13,23
"Soltero(a) (038)",3729,1277,1127,654,337,181,153
"Mujeres (040)",8336,1277,1461,1885,1560,920,1233
"Conviviente (041)",3001,24,633,1121,744,283,196
"Separado(a) (042)",367,3,33,89,95,65,82
"Casado(a) (043)",1879,1,60,307,532,432,547
"Viudo(a) (044)",374,,2,12,25,42,293
"Divorciado(a) (045)",38,,,7,10,3,18
"Soltero(a) (046)",2677,1249,733,349,154,95,97
,,,,,,,
"RURAL (048)",10336,862,2625,2735,1689,1098,1327
"Conviviente (049)",4019,23,821,1602,884,434,255
"Separado(a) (050)",329,1,33,74,81,65,75
"Casado(a) (051)",1965,1,60,329,455,450,670
"Viudo(a) (052)",278,,1,15,17,35,210
"Divorciado(a) (053)",63,,2,14,16,9,22
"Soltero(a) (054)",3682,837,1708,701,236,105,95
"Hombres (056)",6841,468,1767,1911,1175,709,811
"Conviviente (057)",2430,7,355,1031,586,285,166
"Separado(a) (058)",190,,17,37,55,32,49
"Casado(a) (059)",1284,1,31,236,314,282,420
"Viudo(a) (060)",121,,1,5,9,16,90
"Divorciado(a) (061)",51,,2,14,12,8,15
"Soltero(a) (062)",2765,460,1361,588,199,86,71
"Mujeres (064)",3495,394,858,824,514,389,516
"Conviviente (065)",1589,16,466,571,298,149,89
"Separado(a) (066)",139,1,16,37,26,33,26
"Casado(a) (067)",681,,29,93,141,168,250
"Viudo(a) (068)",157,,,10,8,19,120
"Divorciado(a) (069)",12,,,,4,1,7
"Soltero(a) (070)",917,377,347,113,37,19,24
