"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUAURA (000)",77446,170313,158576,,2766,93.1,1.6
"De 12 a 14 años (001)",6135,28,28,,3,100,10.7
"De 15 a 19 años (002)",9577,1166,1141,292,97.9,25,
"De 20 a 24 años (003)",9025,5520,5428,740,98.3,13.4,
"De 25 a 29 años (004)",8093,9830,9666,695,98.3,7.1,
"De 30 a 34 años (005)",7519,13903,13585,593,97.7,4.3,
"De 35 a 39 años (006)",6906,16619,16167,317,97.3,1.9,
"De 40 a 44 años (007)",6148,18288,17660,113,96.6,0.6,
"De 45 a 49 años (008)",5121,17947,17066,13,95.1,0.1,
"De 50 y más años (009)",18922,87012,77835,,89.5,,
"PEA (010)",27661,58040,55196,728,95.1,1.3,
"De 12 a 14 años (011)",157,2,2,,100,,
"De 15 a 19 años (012)",1720,270,263,52,97.4,19.3,
"De 20 a 24 años (013)",3463,1594,1571,149,98.6,9.3,
"De 25 a 29 años (014)",3763,3580,3508,181,98,5.1,
"De 30 a 34 años (015)",3765,6056,5919,187,97.7,3.1,
"De 35 a 39 años (016)",3619,7903,7690,112,97.3,1.4,
"De 40 a 44 años (017)",3332,9145,8842,42,96.7,0.5,
"De 45 a 49 años (018)",2662,8602,8225,5,95.6,0.1,
"De 50 y más años (019)",5180,20888,19176,,91.8,,
"Ocupada (020)",26442,56522,53746,680,95.1,1.2,
"De 12 a 14 años (021)",146,2,2,,100,,
"De 15 a 19 años (022)",1541,250,245,45,98,18,
"De 20 a 24 años (023)",3152,1464,1442,132,98.5,9,
"De 25 a 29 años (024)",3539,3389,3318,165,97.9,4.9,
"De 30 a 34 años (025)",3608,5814,5687,183,97.8,3.1,
"De 35 a 39 años (026)",3512,7698,7491,109,97.3,1.4,
"De 40 a 44 años (027)",3246,8931,8639,41,96.7,0.5,
"De 45 a 49 años (028)",2605,8403,8034,5,95.6,0.1,
"De 50 y más años (029)",5093,20571,18888,,91.8,,
"Desocupada (030)",1219,1518,1450,48,95.5,3.2,
"De 12 a 14 años (031)",11,,,,,,
"De 15 a 19 años (032)",179,20,18,7,90,35,
"De 20 a 24 años (033)",311,130,129,17,99.2,13.1,
"De 25 a 29 años (034)",224,191,190,16,99.5,8.4,
"De 30 a 34 años (035)",157,242,232,4,95.9,1.7,
