"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PAUCARTAMBO (000)",14944,48058,39904,,1055,83,2.2
"De 12 a 14 años (001)",1927,11,10,,1,90.9,9.1
"De 15 a 19 años (002)",1935,460,447,150,97.2,32.6,
"De 20 a 24 años (003)",1636,2134,2024,255,94.8,11.9,
"De 25 a 29 años (004)",1563,3846,3588,242,93.3,6.3,
"De 30 a 34 años (005)",1486,5412,4893,208,90.4,3.8,
"De 35 a 39 años (006)",1349,6261,5613,133,89.7,2.1,
"De 40 a 44 años (007)",1173,6445,5553,52,86.2,0.8,
"De 45 a 49 años (008)",929,5610,4595,14,81.9,0.2,
"De 50 y más años (009)",2946,17879,13181,,73.7,,
"Sin nivel (010)",5350,27239,21534,313,79.1,1.1,
"De 12 a 14 años (011)",52,1,1,1,100,100,
"De 15 a 19 años (012)",145,70,66,15,94.3,21.4,
"De 20 a 24 años (013)",261,416,392,37,94.2,8.9,
"De 25 a 29 años (014)",420,1230,1125,76,91.5,6.2,
"De 30 a 34 años (015)",539,2196,1945,86,88.6,3.9,
"De 35 a 39 años (016)",559,2809,2478,60,88.2,2.1,
"De 40 a 44 años (017)",557,3249,2762,28,85,0.9,
"De 45 a 49 años (018)",554,3478,2806,10,80.7,0.3,
"De 50 y más años (019)",2263,13790,9959,,72.2,,
"Educacion Inicial (020)",113,341,315,18,92.4,5.3,
"De 12 a 14 años (021)",5,,,,,,
"De 15 a 19 años (022)",13,1,1,1,100,100,
"De 20 a 24 años (023)",18,29,25,3,86.2,10.3,
"De 25 a 29 años (024)",23,72,66,4,91.7,5.6,
"De 30 a 34 años (025)",35,147,134,8,91.2,5.4,
"De 35 a 39 años (026)",19,92,89,2,96.7,2.2,
"Primaria (030)",6657,17729,15425,555,87,3.1,
"De 12 a 14 años (031)",1395,6,5,,83.3,,
"De 15 a 19 años (032)",861,260,252,86,96.9,33.1,
"De 20 a 24 años (033)",866,1283,1212,157,94.5,12.2,
"De 25 a 29 años (034)",785,2072,1941,126,93.7,6.1,
"De 30 a 34 años (035)",721,2666,2434,98,91.3,3.7,
"De 35 a 39 años (036)",625,2984,2680,65,89.8,2.2,
"De 40 a 44 años (037)",495,2777,2392,19,86.1,0.7,
"De 45 a 49 años (038)",313,1921,1590,4,82.8,0.2,
