"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BELLAVISTA (000)",45341,2469,5601,6021,4968,8206,6950,9094,2032
"Sabe leer y escribir (001)",38162,,3654,5867,4848,7867,6563,7938,1425
"No sabe leer y escribir (002)",7179,2469,1947,154,120,339,387,1156,607
"Hombres (004)",24327,1238,2854,3150,2706,4287,3769,5283,1040
"Sabe leer y escribir (005)",21174,,1837,3068,2638,4161,3657,4945,868
"No sabe leer y escribir (006)",3153,1238,1017,82,68,126,112,338,172
"Mujeres (008)",21014,1231,2747,2871,2262,3919,3181,3811,992
"Sabe leer y escribir (009)",16988,,1817,2799,2210,3706,2906,2993,557
"No sabe leer y escribir (010)",4026,1231,930,72,52,213,275,818,435
,,,,,,,,,
"URBANA (012)",25282,1228,2757,3320,2895,4267,4033,5500,1282
"Sabe leer y escribir (013)",22182,,1975,3266,2848,4172,3904,5050,967
"No sabe leer y escribir (014)",3100,1228,782,54,47,95,129,450,315
"Hombres (016)",13350,614,1408,1749,1602,2135,2094,3121,627
"Sabe leer y escribir (017)",11988,,989,1715,1572,2096,2055,3002,559
"No sabe leer y escribir (018)",1362,614,419,34,30,39,39,119,68
"Mujeres (020)",11932,614,1349,1571,1293,2132,1939,2379,655
"Sabe leer y escribir (021)",10194,,986,1551,1276,2076,1849,2048,408
"No sabe leer y escribir (022)",1738,614,363,20,17,56,90,331,247
,,,,,,,,,
"RURAL (024)",20059,1241,2844,2701,2073,3939,2917,3594,750
"Sabe leer y escribir (025)",15980,,1679,2601,2000,3695,2659,2888,458
"No sabe leer y escribir (026)",4079,1241,1165,100,73,244,258,706,292
"Hombres (028)",10977,624,1446,1401,1104,2152,1675,2162,413
"Sabe leer y escribir (029)",9186,,848,1353,1066,2065,1602,1943,309
"No sabe leer y escribir (030)",1791,624,598,48,38,87,73,219,104
"Mujeres (032)",9082,617,1398,1300,969,1787,1242,1432,337
"Sabe leer y escribir (033)",6794,,831,1248,934,1630,1057,945,149
"No sabe leer y escribir (034)",2288,617,567,52,35,157,185,487,188
