"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12144,10826,66,1926,1905,1698,2684,1656,667,224,1318,41312
"De 12 a 14 años (001)",26,11,1,7,3,,,,,,15,13
"De 15 a 19 años (002)",233,187,2,144,22,11,8,,,,46,253
"De 20 a 24 años (003)",1299,849,6,534,227,58,21,3,,,450,1271
"De 25 a 29 años (004)",1587,1207,5,442,414,226,115,4,1,,380,2462
"De 30 a 34 años (005)",1397,1240,8,231,378,303,267,42,8,3,157,3404
"De 35 a 39 años (006)",1466,1365,10,136,279,315,456,139,25,5,101,4784
"De 40 a 44 años (007)",1163,1110,3,81,136,209,384,221,61,15,53,4753
"De 45 a 49 años (008)",1096,1061,5,67,99,170,364,253,80,23,35,4911
"De 50 y más años (009)",3877,3796,26,284,347,406,1069,994,492,178,81,19461
"Conviviente (010)",3209,3077,16,836,759,557,613,214,61,21,132,8780
"De 12 a 14 años (011)",15,6,,6,,,,,,,9,6
"De 15 a 19 años (012)",147,118,,87,17,9,5,,,,29,168
"De 20 a 24 años (013)",557,533,4,327,142,42,15,3,,,24,820
"De 25 a 29 años (014)",726,697,3,233,249,132,77,3,,,29,1467
"De 30 a 34 años (015)",559,550,1,90,177,147,118,14,2,1,9,1509
"De 35 a 39 años (016)",463,448,,36,98,103,159,42,8,2,15,1580
"De 40 a 44 años (017)",260,252,1,24,26,50,88,49,10,4,8,1051
"De 45 a 49 años (018)",189,185,2,7,24,35,59,42,15,1,4,820
"De 50 y más años (019)",293,288,5,26,26,39,92,61,26,13,5,1359
"Separado(a) (020)",675,626,2,235,161,82,81,43,19,3,49,1641
"De 12 a 14 años (021)",2,,,,,,,,,,2,
"De 15 a 19 años (022)",32,28,,26,2,,,,,,4,30
