"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUANCANE (000)",22890,56,1061,237,300,1559,9596,950,753,7747,109,522
"Agric., ganadería, caza y silvicultura (001)",16026,,4,8,,,9544,4,14,6452,,
"Pesca (002)",100,,,,,,52,,,48,,
"Explotación de minas y canteras (003)",101,,1,1,,1,,75,,23,,
"Industrias manufactureras (004)",814,,,6,,8,,760,32,8,,
"Suministro de electricidad, gas y agua (005)",22,,1,2,2,,,1,10,6,,
"Construcción (006)",683,,6,5,1,,,10,402,259,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1731,,4,14,,1299,,95,7,312,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",73,,,1,,17,,49,6,,,
"Comercio al por mayor (009)",98,,,2,,95,,,,1,,
"Comercio al por menor (010)",1560,,4,11,,1187,,46,1,311,,
"Hoteles y restaurantes (011)",306,,,9,1,173,,,,123,,
"Trans., almac. y comunicaciones (012)",497,,3,1,3,,,,273,217,,
"Intermediación financiera (013)",11,,,,10,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",116,,36,19,15,25,,3,1,17,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",516,51,21,16,232,8,,1,10,68,109,
"Enseñanza (016)",941,5,912,2,12,,,,1,9,,
